"","term2","Freq"
"681","room",43
"764","staff",25
"393","hotel",23
"151","check",15
"712","september",15
"87","bed",13
"23","airport",11
"258","door",11
"542","night",11
"805","terminal",11
"547","noise",10
"298","expensive",9
"433","july",9
"470","long",9
"497","may",9
"713","service",9
"771","stay",9
"35","am",8
"50","april",8
"875","view",8
"70","august",7
"364","guests",7
"436","june",7
"437","just",7
"614","pm",7
"741","slow",7
"908","who",7
"83","bathroom",6
"227","december",6
"328","flight",6
"468","location",6
"505","member",6
"560","october",6
"619","poor",6
"658","reception",6
"682","rooms",6
"737","sleep",6
"827","time",6
"132","call",5
"224","day",5
"238","didn",5
"337","food",5
"356","going",5
"376","hard",5
"491","manager",5
"526","morning",5
"556","november",5
"572","only",5
"617","pool",5
"684","roomstayed",5
"729","singapore",5
"24","airportstayed",4
"40","annoying",4
"58","arrive",4
"59","arrived",4
"77","back",4
"93","being",4
"102","bit",4
"110","booking",4
"117","breakfast",4
"125","building",4
"152","checked",4
"185","concierge",4
"235","desk",4
"269","duty",4
"273","easy",4
"305","extremely",4
"345","front",4
"450","late",4
"458","lift",4
"517","minutes",4
"577","option",4
"601","person",4
"644","queue",4
"668","report",4
"702","second",4
"744","small",4
"756","sound",4
"772","stayed",4
"773","staying",4
"778","still",4
"795","taken",4
"828","times",4
"882","walk",4
"3","access",3
"20","air",3
"56","arrival",3
"65","asking",3
"88","beds",3
"139","catch",3
"147","charge",3
"171","cold",3
"173","comfortable",3
"174","comfortablestayed",3
"194","construction",3
"216","crowne",3
"218","customer",3
"222","dark",3
"223","daughter",3
"244","dirty",3
"304","extra",3
"319","felt",3
"323","find",3
"330","flightstayed",3
"331","floor",3
"352","glass",3
"370","hall",3
"386","help",3
"420","insufficient",3
"430","itstayed",3
"462","limited",3
"464","listed",3
"466","lobby",3
"476","loud",3
"477","lounge",3
"495","matter",3
"515","mins",3
"537","needed",3
"541","nice",3
"548","noises",3
"568","old",3
"570","once",3
"574","open",3
"602","phone",3
"610","play",3
"659","receptionist",3
"671","requested",3
"691","runway",3
"721","shower",3
"745","smell",3
"761","spent",3
"832","toilet",3
"878","wait",3
"881","wake",3
"892","way",3
"909","will",3
"13","adjacent",2
"57","arrivals",2
"63","ask",2
"64","asked",2
"66","assistance",2
"79","bar",2
"82","bath",2
"99","big",2
"109","booked",2
"135","can",2
"138","case",2
"144","changi",2
"146","channels",2
"153","checkin",2
"154","checking",2
"155","checkout",2
