"","term3","Freq"
"2211","room",411
"1276","hotel",288
"85","airport",214
"1162","great",170
"2483","staff",154
"283","bed",144
"537","comfortable",138
"2512","stayed",129
"1519","location",121
"361","breakfast",116
"1411","july",110
"2637","terminal",104
"1710","nice",101
"496","clean",100
"1963","pool",100
"465","check",96
"921","excellent",96
"1759","october",92
"2217","rooms",91
"2510","stay",91
"836","easy",88
"699","december",84
"2301","september",82
"1414","june",80
"209","august",73
"1045","flight",73
"157","april",71
"605","convenient",70
"1744","november",70
"1528","long",69
"1717","night",69
"2948","well",68
"261","bathroom",64
"408","can",64
"1415","just",63
"1598","may",61
"831","early",57
"2375","singapore",57
"2911","walk",56
"16","access",55
"1092","friendly",55
"1788","only",55
"2697","time",55
"2307","service",53
"1236","helpful",50
"1903","perfect",49
"2455","spacious",49
"543","comfy",47
"1064","food",45
"2067","quiet",44
"325","bit",43
"1547","lovely",43
"2886","view",41
"691","day",39
"980","facilities",39
"379","buffet",37
"751","didn",37
"1450","late",36
"316","big",35
"106","am",34
"1445","large",34
"2572","super",34
"89","airportstayed",33
"1927","place",33
"1083","free",32
"1921","pillows",30
"1505","little",29
"2001","price",29
"450","changi",28
"2114","reception",28
"107","amazing",27
"259","bath",27
"489","city",27
"515","close",27
"1840","overnight",27
"2221","roomstayed",27
"2388","size",27
"2749","transit",27
"178","arrived",26
"1648","modern",26
"1657","morning",26
"2171","restaurant",26
"162","area",25
"945","expensive",25
"2197","right",25
"2348","shower",25
"2591","swimming",25
"2976","will",25
"278","beautiful",24
"758","dinner",24
"992","fantastic",24
"1024","find",24
"1544","love",24
"301","being",23
"602","convenience",23
"1518","located",23
"2394","sleep",23
"237","back",22
"2933","water",22
"2934","way",22
"1545","loved",21
"1692","need",21
"2604","take",21
"287","beds",20
"1049","flights",20
"2342","short",20
"2406","small",20
"967","extremely",19
"1285","hours",19
"1398","january",19
"1637","minutes",19
"1956","pm",19
"2739","train",19
"2967","who",19
"1138","given",18
"1282","hotelstayed",18
"1542","lounge",18
"1794","open",18
"308","best",17
"737","desk",17
"896","especially",17
"1511","lobby",17
"2054","quality",17
"2446","sound",17
"401","call",16
"468","checking",16
"481","choice",16
"565","complimentary",16
"964","extra",16
"1244","here",16
"1284","hour",16
"1295","huge",16
"1663","mrt",16
"2488","staffstayed",16
"2919","want",16
"3","able",15
"250","bar",15
"344","booked",15
"389","busy",15
"1051","flightstayed",15
"1368","international",15
"1429","king",15
"1458","layover",15
"1480","level",15
"1490","liked",15
"1566","made",15
"1805","options",15
"1914","phone",15
"1944","plaza",15
"2905","wait",15
"2914","walking",15
"73","air",14
"114","amenities",14
"172","arrival",14
"345","booking",14
"541","comfortablestayed",14
"781","distance",14
"798","door",14
"1275","hot",14
"1330","included",14
"1553","luggage",14
"1726","noise",14
"2118","recommend",14
"2529","stopover",14
"2639","terminals",14
"2715","took",14
"2778","trip",14
"2795","tv",14
"365","breakfaststayed",13
"520","club",13
