"","ID","neg","pos","sentiment"
"1","1",1,1,0
"2","10",0,1,1
"3","100",0,1,1
"4","1000",0,4,4
"5","1001",0,3,3
"6","1002",1,3,2
"7","1003",0,1,1
"8","1005",0,3,3
"9","1006",0,2,2
"10","1007",0,2,2
"11","1008",0,4,4
"12","1009",0,4,4
"13","101",1,3,2
"14","1010",0,3,3
"15","1011",8,7,-1
"16","1012",1,3,2
"17","1013",0,6,6
"18","1014",2,5,3
"19","1015",0,0,0
"20","1016",0,7,7
"21","1017",0,3,3
"22","1018",0,6,6
"23","102",0,1,1
"24","1020",0,3,3
"25","1021",0,3,3
"26","1022",3,30,27
"27","1024",1,5,4
"28","1025",0,1,1
"29","1026",0,2,2
"30","1027",1,14,13
"31","1028",0,1,1
"32","103",1,2,1
"33","1030",1,3,2
"34","1031",0,2,2
"35","1032",1,1,0
"36","1033",3,0,-3
"37","1034",0,1,1
"38","1036",3,6,3
"39","1038",0,4,4
"40","1039",0,3,3
"41","104",0,3,3
"42","1040",0,3,3
"43","1042",1,0,-1
"44","1044",1,1,0
"45","1045",1,2,1
"46","1046",0,1,1
"47","1047",1,3,2
"48","1048",0,1,1
"49","1049",0,2,2
"50","105",0,1,1
"51","1050",0,1,1
"52","106",0,1,1
"53","107",0,2,2
"54","108",0,3,3
"55","110",0,9,9
"56","111",2,1,-1
"57","112",0,2,2
"58","113",0,0,0
"59","114",1,1,0
"60","115",1,5,4
"61","116",1,1,0
"62","118",1,0,-1
"63","119",0,1,1
"64","12",2,2,0
"65","120",0,5,5
"66","121",2,3,1
"67","122",1,2,1
"68","123",0,3,3
"69","124",0,1,1
"70","125",0,4,4
"71","126",0,1,1
"72","127",0,1,1
"73","128",0,1,1
"74","129",0,4,4
"75","130",0,4,4
"76","131",0,1,1
"77","132",0,1,1
"78","134",2,5,3
"79","135",1,2,1
"80","136",0,3,3
"81","137",1,4,3
"82","138",0,1,1
"83","139",2,1,-1
"84","14",3,15,12
"85","141",0,2,2
"86","142",2,0,-2
"87","144",0,2,2
"88","145",0,2,2
"89","146",2,1,-1
"90","147",0,1,1
"91","148",4,4,0
"92","149",3,0,-3
"93","151",0,3,3
"94","152",0,3,3
"95","153",1,2,1
"96","154",1,4,3
"97","155",1,1,0
"98","156",0,4,4
"99","157",0,1,1
"100","158",0,2,2
"101","159",0,1,1
"102","16",1,0,-1
"103","161",0,1,1
"104","162",3,7,4
"105","163",1,2,1
"106","164",1,0,-1
"107","165",2,1,-1
"108","166",0,5,5
"109","167",1,1,0
"110","168",1,3,2
"111","169",0,2,2
"112","17",0,1,1
"113","170",0,3,3
"114","171",0,3,3
"115","172",0,1,1
"116","174",0,2,2
"117","175",0,1,1
"118","176",0,2,2
"119","177",0,0,0
"120","179",0,3,3
"121","18",0,6,6
"122","180",0,0,0
"123","181",1,1,0
"124","182",1,2,1
"125","183",0,3,3
"126","184",1,2,1
"127","185",3,6,3
"128","186",2,4,2
"129","188",0,9,9
"130","189",0,4,4
"131","19",1,0,-1
"132","190",1,2,1
"133","191",0,2,2
"134","192",0,1,1
"135","193",0,1,1
"136","194",0,2,2
"137","195",2,4,2
"138","196",0,8,8
"139","197",1,5,4
"140","198",0,5,5
"141","199",1,0,-1
"142","2",0,1,1
"143","20",0,2,2
"144","200",1,2,1
"145","201",0,3,3
"146","202",0,1,1
"147","203",0,1,1
"148","204",0,3,3
"149","205",1,2,1
"150","206",2,0,-2
"151","207",0,4,4
"152","208",0,1,1
"153","209",0,1,1
"154","21",0,10,10
"155","210",0,1,1
"156","211",1,4,3
"157","212",1,1,0
"158","214",0,2,2
"159","216",0,1,1
"160","217",0,3,3
"161","218",0,1,1
"162","219",0,1,1
"163","22",0,5,5
"164","220",0,2,2
"165","222",0,0,0
"166","223",0,6,6
"167","225",0,1,1
"168","226",2,2,0
"169","227",0,0,0
"170","228",0,4,4
"171","229",0,9,9
"172","23",3,3,0
"173","230",0,2,2
"174","231",0,1,1
"175","232",0,2,2
"176","233",0,2,2
"177","234",0,1,1
"178","235",1,3,2
"179","236",0,7,7
"180","237",1,4,3
"181","238",0,2,2
"182","239",3,3,0
"183","24",2,2,0
"184","240",1,5,4
"185","241",0,3,3
"186","242",0,1,1
"187","243",0,1,1
"188","244",0,1,1
"189","245",1,4,3
"190","246",0,3,3
"191","247",0,3,3
"192","248",0,4,4
"193","249",1,3,2
"194","25",0,2,2
"195","251",0,5,5
"196","252",0,5,5
"197","253",0,1,1
"198","254",0,3,3
"199","255",0,1,1
"200","256",1,1,0
"201","257",0,1,1
"202","258",3,6,3
"203","259",0,6,6
"204","26",2,6,4
"205","260",0,3,3
"206","261",0,1,1
"207","262",1,3,2
"208","263",0,8,8
"209","264",0,4,4
"210","265",0,2,2
"211","266",1,3,2
"212","267",1,4,3
"213","268",0,4,4
"214","269",0,3,3
"215","27",1,10,9
"216","270",0,2,2
"217","271",2,0,-2
"218","272",0,3,3
"219","273",0,10,10
"220","274",1,4,3
"221","275",1,0,-1
"222","276",1,3,2
"223","28",1,5,4
"224","280",1,5,4
"225","281",1,4,3
"226","282",0,1,1
"227","284",0,4,4
"228","285",0,2,2
"229","286",0,5,5
"230","287",0,3,3
"231","288",0,1,1
"232","289",0,3,3
"233","29",2,14,12
"234","290",2,6,4
"235","291",1,0,-1
"236","292",0,6,6
"237","294",0,2,2
"238","295",0,7,7
"239","297",0,4,4
"240","298",3,2,-1
"241","3",0,2,2
"242","30",0,1,1
"243","300",1,0,-1
"244","301",1,1,0
"245","302",0,1,1
"246","303",1,3,2
"247","304",0,2,2
"248","305",0,3,3
"249","306",0,0,0
"250","307",0,0,0
"251","308",1,2,1
"252","309",8,3,-5
"253","31",0,1,1
"254","310",2,5,3
"255","311",2,7,5
"256","312",0,2,2
"257","313",3,6,3
"258","314",7,10,3
"259","315",0,2,2
"260","316",0,3,3
