"","term2","Freq"
"750","room",71
"130","breakfast",34
"501","location",32
"806","small",31
"422","hotel",29
"342","family",20
"675","pool",20
"833","staff",20
"183","clean",18
"385","great",17
"845","stayed",16
"191","close",15
"463","july",15
"534","march",15
"573","mrt",15
"174","check",14
"541","may",14
"356","food",13
"841","station",13
"496","little",12
"823","space",12
"910","time",12
"301","easy",11
"752","rooms",11
"984","walk",11
"99","beds",10
"116","bit",10
"249","december",10
"465","just",10
"371","front",9
"739","restaurant",9
"7","access",8
"71","august",8
"147","can",8
"410","helpful",8
"499","local",8
"505","locationstayed",8
"748","roof",8
"774","service",8
"999","well",8
"90","bathroom",7
"98","bed",7
"281","distance",7
"368","friendly",7
"462","january",7
"464","june",7
"519","luggage",7
"553","min",7
"563","money",7
"598","nice",7
"612","november",7
"725","reception",7
"749","rooftop",7
"772","september",7
"814","soap",7
"994","water",7
"48","april",6
"122","booking",6
"241","crowded",6
"266","didn",6
"364","free",6
"550","metro",6
"669","place",6
"785","shopping",6
"797","singapore",6
"985","walking",6
"180","city",5
"200","comfortable",5
"202","comfy",5
"324","excellent",5
"328","expensive",5
"329","experience",5
"378","given",5
"390","guests",5
"498","lobby",5
"500","located",5
"507","long",5
"589","need",5
"621","ok",5
"629","only",5
"658","people",5
"696","property",5
"710","quiet",5
"844","stay",5
"858","street",5
"874","swimming",5
"912","times",5
"922","towels",5
"974","view",5
"1017","wifi",5
"51","area",4
"63","asked",4
"87","basic",4
"121","booked",4
"127","bottles",4
"135","buffet",4
"146","came",4
"149","card",4
"157","center",4
"237","cramped",4
"248","days",4
"261","desk",4
"306","elevator",4
"333","extra",4
"334","extremely",4
"346","february",4
"355","floor",4
"418","highway",4
"423","hotels",4
"472","kids",4
"481","late",4
"486","left",4
"493","limited",4
"557","minutes",4
"667","pillow",4
"683","pretty",4
"701","public",4
"766","see",4
"787","short",4
"802","size",4
"805","slow",4
"842","stations",4
"884","taxi",4
"919","top",4
"927","transport",4
"981","waiting",4
"31","am",3
"91","bay",3
"115","bill",3
"136","bugis",3
"141","busy",3
"145","called",3
"158","central",3
"166","change",3
"167","changed",3
"172","cheap",3
"186","cleaning",3
"187","cleanliness",3
"199","comfort",3
"211","complimentary",3
"238","credit",3
"262","destination",3
"268","dining",3
"274","disappointed",3
"294","due",3
"336","facilities",3
"343","far",3
"347","felt",3
"349","find",3
"377","give",3
"382","goodstayed",3
"406","hawker",3
"432","huge",3
"452","inn",3
"474","know",3
"478","large",3
"489","lift",3
"619","offered",3
"626","once",3
"655","pay",3
"740","restaurants",3
"746","road",3
"803","sleep",3
"809","smell",3
"835","staffs",3
"866","subway",3
"870","suite",3
"956","upgrade",3
"965","value",3
"1000","wellstayed",3
"2","able",2
"25","allowed",2
"32","amazing",2
"39","annoying",2
"56","arrival",2
"64","assist",2
"68","attitude",2
"69","attractions",2
"70","attractionsstayed",2
"79","awesome",2
"80","back",2
"85","bar",2
"101","bedstayed",2
"114","big",2
"132","breakfaststayed",2
"133","bridge",2
"137","building",2
"139","business",2
"144","call",2
"152","carpark",2
"155","case",2
"161","centre",2
"169","charge",2
"170","charged",2
"175","checked",2
"176","checking",2
"178","china",2
"206","compared",2
"218","considered",2
"222","convenient",2
"233","couldn",2
"236","courteous",2
"239","cross",2
"246","daily",2
"255","deposit",2
"267","difficult",2
"271","dirty",2
"283","doesn",2
"299","early",2
"312","entrance",2
"314","especially",2
"327","expected",2
"339","fairly",2
"345","favourite",2
"351","fine",2
"353","first",2
"358","foods",2
"367","fridge",2
"372","full",2
"380","golden",2
"389","guest",2
"399","happy",2
"400","hard",2
"425","hotelstayed",2
"426","hour",2
"427","hours",2
"428","house",2
"451","informed",2
"458","issuer",2
"460","item",2
"467","keep",2
"470","kept",2
"471","key",2
"473","kind",2
"483","laundry",2
"502","locationgood",2
"508","look",2
"510","looking",2
"517","lovely",2
"521","lunch",2
"523","made",2
"529","managed",2
"530","manager",2
"535","marina",2
"552","mile",2
"554","mineral",2
"555","minibar",2
"556","minute",2
"561","modern",2
"570","move",2
"571","movement",2
"574","mrtstayed",2
"579","names",2
"583","nd",2
"586","nearbystayed",2
"599","nicestayed",2
"600","nicol",2
"601","nicoll",2
"615","october",2
"632","opposit",2
"634","option",2
"635","options",2
"657","pedestrian",2
"666","pictures",2
"668","pillows",2
"678","practical",2
"680","premier",2
"685","price",2
"692","problems",2
"695","proper",2
"704","put",2
"707","quality",2
"712","raffles",2
"745","right",2
"753","roomsstayed",2
"754","roomstayed",2
"779","shampoo",2
"782","sheets",2
"791","shower",2
"799","single",2
"807","smaller",2
"828","spread",2
"836","staffstayed",2
"838","stand",2
"839","standard",2
"843","stationstayed",2
"847","staystayed",2
"850","still",2
"851","stinks",2
"853","stone",2
"876","table",2
"877","take",2
"878","taken",2
"904","think",2
"907","thought",2
"913","tiny",2
"933","trip",2
"934","triple",2
"938","tv",2
"940","twin",2
"949","underware",2
"967","variety",2
"979","wait",2
"987","want",2
"992","wasn",2
"1018","will",2
"1025","working",2
"1028","worth",2
"4","absolutely",1
"5","abt",1
"6","accent",1
"8","accessible",1
"9","accident",1
"10","accommodated",1
"11","accurate",1
"13","actually",1
"14","adding",1
"15","additional",1
"16","addressed",1
"17","advance",1
"18","advice",1
"21","age",1
"22","ahead",1
"23","airportstayed",1
"26","allowing",1
"33","amazingstayed",1
"34","amd",1
"35","amount",1
"36","ample",1
"42","anymore",1
"44","apologised",1
"46","appreciated",1
"47","appreciatedstayed",1
"49","arab",1
"52","areas",1
"53","areastayed",1
"55","aroundespecially",1
"57","arrivalalso",1
"58","arrive",1
"59","arrived",1
"60","arriving",1
"62","asian",1
"66","ate",1
"67","attentive",1
"72","auto",1
"74","average",1
"75","averagehowever",1
"76","avoid",1
"77","away",1
"78","awaystayed",1
"81","bacon",1
"82","bad",1
"83","baggage",1
"84","bags",1
"86","bars",1
"88","bath",1
"89","bathing",1
"92","bcz",1
"94","beach",1
"95","beautiful",1
"100","bedsheets",1
"104","beginning",1
"105","behaved",1
"106","being",1
"107","believe",1
"108","bellboy",1
"109","benefit",1
"111","best",1
"117","blocking",1
"118","boards",1
"119","body",1
"120","bonus",1
"123","booklet",1
"125","bother",1
"126","bottle",1
"128","bought",1
"129","breads",1
"131","breakfasts",1
"134","brought",1
"138","bus",1
"140","busstop",1
"148","capacity",1
"150","cards",1
"151","cared",1
"153","carpets",1
"154","carts",1
"156","cases",1
"159","centrally",1
"160","centralstayed",1
"162","centrestayed",1
"163","cereal",1
"164","chairs",1
"165","challenge",1
"168","channels",1
"171","chargedstayed",1
"173","cheaper",1
"177","chilled",1
"179","choices",1
"181","citystayed",1
"182","claustrophobicview",1
"184","cleaned",1
"185","cleaner",1
"188","cleanlinesssilencelocationstayed",1
"189","cleanstayed",1
"190","climb",1
"192","closed",1
"193","closes",1
"194","closets",1
"195","clothes",1
"196","cn",1
"197","coach",1
"198","coldafter",1
"201","comfortablyno",1
"203","commute",1
"204","compact",1
"205","company",1
"207","complain",1
"208","complementary",1
"209","complexswiming",1
"210","compliment",1
"212","conditioner",1
"213","conditions",1
"214","conditionwe",1
"215","congested",1
"216","connection",1
"217","consider",1
"220","constitute",1
"221","continental",1
"223","converted",1
"224","cooked",1
"225","cool",1
