"","term3","Freq"
"2151","room",372
"1226","hotel",224
"1461","location",213
"337","breakfast",198
"1896","pool",187
"2328","small",176
"2406","staff",166
"1107","great",153
"1006","food",127
"483","clean",122
"1670","nice",121
"242","bed",107
"2158","rooms",100
"500","close",98
"1623","mrt",96
"2434","stayed",84
"676","december",83
"938","family",83
"1716","october",76
"229","bathroom",71
"1353","july",67
"1356","just",67
"2150","rooftop",66
"521","comfortable",65
"137","area",64
"1042","friendly",64
"2426","station",61
"133","april",60
"2148","roof",60
"2790","view",59
"392","can",58
"293","bit",56
"1355","june",56
"1701","november",56
"2431","stay",56
"2811","walk",56
"1743","only",55
"2292","singapore",55
"2765","value",52
"450","check",49
"1545","may",49
"821","easy",48
"1190","helpful",48
"1529","march",48
"1448","little",47
"250","beds",46
"2515","swimming",46
"2224","september",45
"667","day",44
"183","august",42
"1937","price",42
"2232","service",41
"2852","well",41
"955","february",40
"1342","january",40
"1666","new",38
"2048","reception",37
"898","excellent",36
"1466","locationstayed",36
"2306","size",36
"2605","time",36
"2838","water",36
"1681","night",35
"2815","walking",35
"993","floor",34
"2635","top",33
"1172","hawker",32
"1591","minutes",32
"2270","shower",32
"476","city",31
"1604","money",31
"1872","place",31
"2371","space",31
"367","bus",30
"2143","road",30
"1492","luggage",28
"1843","people",28
"2533","taxi",28
"912","expensive",27
"1473","long",27
"424","centre",26
"528","comfy",26
"1455","local",26
"1730","ok",25
"2119","restaurant",25
"1453","lobby",24
"1573","metro",24
"232","bay",23
"726","didn",23
"1099","goodstayed",23
"2617","toilet",23
"134","arab",22
"758","distance",22
"970","find",22
"1029","free",22
"1488","lovely",22
"1600","modern",22
"1645","nearby",22
"2323","slow",22
"2458","street",22
"2878","will",22
"287","big",21
"595","convenient",21
"629","court",21
"1426","lifts",21
"1531","marina",21
"1905","poolstayed",21
"2004","quiet",21
"421","center",20
"447","cheap",20
"489","cleanliness",20
"511","coffee",20
"923","extra",20
"1204","highway",20
"1502","made",20
"1678","nicoll",20
"2121","restaurants",20
"359","buffet",19
"774","don",19
"1366","kids",19
"1654","need",19
"2524","take",19
"192","away",18
"462","children",18
"778","door",18
"1874","places",18
"2264","short",18
"2876","wifi",18
"310","booked",17
"372","busy",17
"470","choice",17
"824","eat",17
"930","facilities",17
"1126","guests",17
"1225","hot",17
"2135","right",17
"2409","staffstayed",17
"202","bad",16
"485","cleaned",16
"512","cold",16
"815","early",16
"945","far",16
"1095","golden",16
"1424","lift",16
"1759","options",16
"1889","pm",16
"2498","super",16
"2651","towels",16
"2833","wasn",16
"152","arrived",15
"713","desk",15
"1579","mile",15
"2250","shampoo",15
"2443","still",15
"2793","views",15
"2840","way",15
"13","access",14
"73","airport",14
"198","back",14
"219","bar",14
"523","comfortablestayed",14
"651","crowded",14
"1400","late",14
"1438","limited",14
"1458","located",14
"1606","moneystayed",14
"1655","needed",14
"1687","noise",14
"2043","reasonable",14
"2334","smell",14
"841","elevators",13
"1049","front",13
"2647","tourist",13
"94","amazing",12
"179","attractions",12
"840","elevator",12
"1240","housekeeping",12
"1414","left",12
"1435","liked",12
"1682","nights",12
"2558","th",12
"2870","who",12
"288","bigger",11
"311","booking",11
"422","central",11
"471","choices",11
"472","choose",11
"692","definitely",11
"911","expected",11
"978","first",11
"1023","found",11
"1162","hard",11
"1233","hotels",11
"1612","morning",11
"1746","open",11
"1951","problem",11
"1993","quality",11
"2207","see",11
"2346","soap",11
"2408","staffs",11
"2534","taxis",11
"2584","think",11
"2606","times",11
"2631","took",11
"2695","tv",11
"2807","wait",11
"2901","working",11
"264","being",10
"398","card",10
"559","conditioner",10
"924","extremely",10
"947","fast",10
"1201","high",10
"1234","hotelstayed",10
"1489","low",10
"1534","market",10
"1562","menu",10
"1582","min",10
"1625","mrtstayed",10
"1870","pillows",10
"1933","pressure",10
"1968","property",10
"2312","sleep",10
"2658","train",10
"2686","try",10
"40","additional",9
"276","best",9
"343","breakfaststayed",9
"360","bugis",9
"391","came",9
"406","carpet",9
"494","cleanstayed",9
"782","double",9
"848","end",9
"943","fantastic",9
"972","fine",9
"1586","mins",9
"1657","needs",9
"1706","number",9
"1834","pay",9
"1880","pleasant",9
"2024","rate",9
"2055","recommend",9
"2102","request",9
"2214","selection",9
"2261","shopping",9
"2296","singaporestayed",9
"2669","travel",9
"2772","variety",9
"2819","wall",9
"2821","want",9
"3","able",8
"49","adults",8
"81","allowed",8
"93","am",8
"162","asked",8
"225","basic",8
"347","bridge",8
"435","changed",8
"461","child",8
"488","cleaning",8
"501","closed",8
"638","cramped",8
"696","delicious",8
"805","due",8
"831","efficient",8
"852","enjoyed",8
"915","experience",8
"932","facility",8
"1033","fresh",8
"1081","give",8
"1188","help",8
"1237","hours",8
"1279","including",8
"1381","know",8
"1758","option",8
"1906","poor",8
"1934","pretty",8
"1940","pricestayed",8
"2184","sands",8
"2277","side",8
"2320","slightly",8
"2435","staying",8
"2590","thought",8
"2609","tiny",8
"2625","told",8
"2809","waiting",8
"16","accessible",7
"23","accommodation",7
"34","actually",7
"37","added",7
"70","air",7
"99","amenities",7
"150","arrival",7
"161","ask",7
"238","beautiful",7
