"","term2","Freq"
"376","location",33
"531","room",33
"594","staff",28
"315","hotel",27
"100","breakfast",21
"72","bed",18
"178","december",18
"127","check",12
"139","close",12
"227","excellent",12
"284","great",12
"419","mrt",12
"571","small",12
"604","stayed",12
"134","clean",11
"145","comfortable",11
"265","friendly",11
"442","november",11
"532","rooms",11
"306","helpful",10
"115","can",9
"445","october",9
"650","time",9
"263","free",8
"377","locationstayed",8
"105","bugis",7
"436","nice",7
"565","singapore",7
"603","stay",7
"37","april",6
"87","bit",6
"147","comfy",6
"206","easy",6
"324","ibis",6
"349","june",6
"393","march",6
"553","shopping",6
"106","bus",5
"205","early",5
"237","extremely",5
"244","february",5
"346","january",5
"347","july",5
"359","late",5
"372","little",5
"396","may",5
"414","money",5
"484","pool",5
"487","pretty",5
"545","service",5
"601","station",5
"714","well",5
"2","able",4
"51","august",4
"83","big",4
"176","day",4
"233","expensive",4
"257","food",4
"264","fridge",4
"283","goodstayed",4
"321","housekeeping",4
"351","just",4
"353","keep",4
"362","lift",4
"380","love",4
"437","night",4
"448","ok",4
"473","perfect",4
"544","september",4
"559","shower",4
"567","size",4
"645","think",4
"657","toilet",4
"702","visit",4
"706","walking",4
"726","wifi",4
"19","air",3
"40","area",3
"63","bad",3
"73","beds",3
"78","bencoolen",3
"84","bigger",3
"92","booking",3
"117","card",3
"120","central",3
"129","checkout",3
"133","city",3
"158","conditioner",3
"192","distance",3
"250","fine",3
"255","floor",3
"260","found",3
"293","hair",3
"296","happy",3
"332","included",3
"354","kind",3
"373","ll",3
"428","need",3
"541","selection",3
"556","short",3
"596","staffstayed",3
"618","super",3
"626","table",3
"671","transportation",3
"672","travel",3
"695","value",3
"705","walk",3
"711","water",3
"728","will",3
"742","worth",3
"29","am",2
"44","assist",2
"54","average",2
"62","backstayed",2
"64","bar",2
"88","board",2
"113","calls",2
"119","center",2
"125","charging",2
"136","cleanliness",2
"137","cleanstayed",2
"148","coming",2
"152","complain",2
"155","complimentary",2
"161","convenient",2
"162","conveniently",2
"171","credit",2
"174","customer",2
"184","desk",2
"188","didn",2
"191","dislike",2
"195","door",2
"201","due",2
"208","eateries",2
"211","elevators",2
"213","end",2
"218","especially",2
"236","extra",2
"238","facilities",2
"239","facility",2
"242","far",2
"243","fast",2
"252","first",2
"267","front",2
"268","functioning",2
"281","going",2
"307","helpfulstayed",2
"308","here",2
"310","high",2
"314","hop",2
"318","hotelstayed",2
"333","india",2
"337","interesting",2
"338","international",2
"345","itstayed",2
"374","located",2
"388","making",2
"395","mattress",2
"397","maybe",2
"407","mins",2
"416","morning",2
"420","mrtstayed",2
"449","old",2
"453","only",2
"455","options",2
"478","place",2
"481","pm",2
"488","price",2
"497","property",2
"503","quality",2
"507","quietstayed",2
"511","reach",2
"524","request",2
"528","restaurants",2
"529","right",2
"530","rochor",2
"534","roomstayed",2
"566","single",2
"569","slow",2
"579","smoke",2
"580","smoking",2
"584","soft",2
"595","staffs",2
"612","stops",2
"613","street",2
"619","supposed",2
"623","swimming",2
"629","takes",2
"631","taxi",2
"669","train",2
"683","unlimited",2
"741","world",2
"4","acceptable",1
"5","access",1
"6","accessible",1
"7","accommodating",1
"8","accommodation",1
"9","accomodation",1
"10","account",1
"12","add",1
"13","additional",1
"14","adequate",1
"16","afternoons",1
"18","againstayed",1
"20","airport",1
"21","albert",1
"23","alleys",1
"24","allowed",1
"30","amenities",1
"31","amenitiesstayed",1
"34","angle",1
"36","appreciatedstayed",1
"38","arab",1
"43","asian",1
"46","atractions",1
"47","attended",1
"48","attention",1
"49","attractions",1
"50","attractionsstayed",1
"52","availability",1
"55","awaits",1
"56","away",1
"57","awaystayed",1
"58","awesome",1
"59","awesomestayed",1
"61","backdoors",1
"65","basic",1
"66","basis",1
"67","bathroom",1
"68","bathrooms",1
"69","bday",1
"74","beef",1
"77","being",1
"79","benefits",1
"80","best",1
"82","bicycles",1
"85","bill",1
"86","birthday",1
"89","boarding",1
"90","bonus",1
"91","book",1
"93","bookingcom",1
"94","bookings",1
"95","bookingthe",1
"96","borrow",1
"97","bottle",1
"98","bottles",1
"99","box",1
"101","breakfaststayed",1
"102","brilliantstayed",1
"103","buffet",1
"104","buggis",1
"107","business",1
"111","cabstayed",1
"112","cake",1
"114","callstayed",1
"116","capatial",1
"118","celsius",1
"121","certainly",1
"122","changed",1
"123","channels",1
"124","char",1
"126","cheap",1
"128","checking",1
"130","chicken",1
"131","chocolate",1
"132","choice",1
"135","cleaned",1
"138","clients",1
"140","clothing",1
"141","cocktails",1
"142","coffee",1
"143","cold",1
"144","come",1
"146","comfortably",1
"149","comments",1
"150","common",1
"151","compared",1
"153","complainstayed",1
"154","completed",1
"156","computers",1
"157","condition",1
"159","confortablebreakfast",1
"160","connected",1
"163","convenientstayed",1
"164","corner",1
"165","cos",1
"167","couldnat",1
"168","countries",1
"169","couple",1
"170","court",1
"172","crowed",1
"173","cudnt",1
"175","daily",1
"177","days",1
"179","decor",1
"180","degree",1
"181","delicious",1
"182","deposit",1
"183","designed",1
"185","dessert",1
"186","desserts",1
"187","detail",1
"189","dining",1
"190","dishes",1
"196","downtown",1
"197","drink",1
"198","drinks",1
"199","driversstayed",1
"200","dry",1
"202","dumb",1
"203","dumpsters",1
"207","easystayed",1
"209","efficient",1
"212","eleven",1
"214","enjoyed",1
"216","equipment",1
"217","equipped",1
"220","etchotel",1
"221","eu",1
"223","evenings",1
"226","everythingstayed",1
"228","excellentstayed",1
"230","exception",1
"231","exceptional",1
"232","exhausting",1
"234","experience",1
"235","express",1
"241","family",1
"245","feel",1
"246","feeling",1
"248","fi",1
"249","find",1
"251","finished",1
"253","fit",1
"254","flight",1
"256","flow",1
"258","foot",1
"262","freakhaha",1
"269","funding",1
"270","future",1
"271","gave",1
"272","generally",1
"273","generous",1
"276","girl",1
"277","give",1
"278","given",1
"279","glam",1
"285","greatstayed",1
"286","grocery",1
"287","group",1
"288","guess",1
"289","guest",1
"290","guests",1
"291","gym",1
"294","handy",1
"295","hang",1
"299","haven",1
"301","hawker",1
"303","head",1
"304","hearts",1
"305","height",1
"309","herevery",1
"311","higher",1
"312","highlightsstayed",1
"313","highly",1
"316","hotels",1
"317","hotelsstayed",1
"319","hotelwill",1
"320","hours",1
"322","humoured",1
"325","ideal",1
