"","term3","Freq"
"2011","room",286
"1401","location",209
"2276","staff",170
"320","breakfast",163
"1170","hotel",158
"673","december",112
"2187","small",112
"227","bed",103
"1633","november",92
"1064","great",89
"1000","friendly",88
"471","clean",86
"1606","nice",71
"2015","rooms",71
"2306","stayed",71
"523","comfortable",67
"1556","mrt",67
"1481","may",66
"1279","january",65
"344","bugis",59
"978","food",59
"1641","october",56
"1130","helpful",55
"115","april",51
"2305","stay",50
"280","bit",49
"871","excellent",49
"1469","march",49
"2088","service",48
"441","check",46
"1406","locationstayed",44
"1290","june",42
"494","close",41
"2082","september",41
"2690","water",41
"1665","only",40
"1195","ibis",38
"1286","july",38
"155","august",36
"1292","just",36
"2152","singapore",36
"2126","shopping",35
"938","february",34
"989","free",34
"792","easy",33
"1383","little",33
"2136","shower",33
"2623","value",33
"208","bathroom",32
"376","can",32
"1833","price",32
"2469","time",32
"596","convenient",31
"324","breakfaststayed",29
"2167","size",29
"1932","reception",28
"2280","staffstayed",28
"2706","well",28
"343","buffet",27
"733","distance",27
"2667","walking",27
"916","facilities",26
"970","floor",26
"2300","station",26
"2728","wifi",26
"1541","money",24
"2663","walk",24
"1774","place",23
"232","beds",22
"350","bus",22
"1007","front",22
"1590","need",22
"2241","space",22
"10","access",21
"119","area",21
"668","day",21
"531","comfy",20
"1791","pm",20
"1799","pool",20
"2407","taxi",20
"2562","tv",20
"80","am",19
"1052","goodstayed",19
"1608","night",19
"2278","staffs",18
"1145","high",17
"1330","late",17
"1759","phone",17
"1877","public",17
"2017","roomstayed",17
"2392","take",17
"2721","who",17
"1394","local",16
"1744","people",16
"1776","places",16
"509","coffee",15
"906","extra",15
"1747","perfect",15
"1987","restaurant",15
"2483","toilet",15
"60","air",14
"137","ask",14
"382","card",14
"480","cleanliness",14
"484","cleanstayed",14
"690","desk",14
"702","didn",14
"895","expensive",14
"1655","ok",14
"2730","will",14
"196","bar",13
"257","best",13
"467","city",13
"787","early",13
"987","found",13
"1036","given",13
"1392","lobby",13
"1617","noisy",13
"85","amenities",12
"181","back",12
"186","bad",12
"203","basic",12
"251","bencoolen",12
"300","booked",12
"301","booking",12
"1076","guests",12
"1174","hotelstayed",12
"1310","know",12
"1426","loved",12
"1435","luggage",12
"1975","request",12
"2001","right",12
"2207","smoking",12
"2335","street",12
"2634","vegetarian",12
"2644","view",12
"138","asked",11
"269","big",11
"670","days",11
"849","especially",11
"929","far",11
"955","fine",11
"1127","help",11
"1337","laundry",11
"1472","markets",11
"1524","minutes",11
"1549","morning",11
"1770","pillows",11
"1802","poor",11
"2142","side",11
"2365","super",11
"2385","swimming",11
"2471","times",11
"4","able",10
"458","choice",10
"751","door",10
"890","expected",10
"931","fast",10
"1113","hawker",10
"1133","helpfulstayed",10
"1364","liked",10
"1398","located",10
"1583","nearby",10
"1867","property",10
"1976","requested",10
"2197","smell",10
"2287","standard",10
"2325","store",10
"2488","told",10
"2524","transport",10
"152","attractions",9
"311","bottle",9
"353","business",9
"411","central",9
"426","change",9
"442","checked",9
"522","comfort",9
"748","don",9
"804","efficient",9
"940","feel",9
"954","find",9
"1001","friendlystayed",9
"1178","hours",9
"1180","housekeeping",9
"1359","lifts",9
"1425","love",9
"1446","made",9
"1533","mobile",9
"1542","moneystayed",9
"1832","pretty",9
"1884","quality",9
"1894","quiet",9
"1988","restaurants",9
"2069","see",9
"2505","tourist",9
"2691","way",9
"2708","went",9
"2750","working",9
"63","airport",8
"81","amazing",8
"173","away",8
"246","being",8
"278","birthday",8
"436","charged",8
"558","complimentary",8
"875","excellentstayed",8
"918","facility",8
"959","first",8
"969","flight",8
"1075","guest",8
"1122","hear",8
"1167","hospitality",8
