"","ID","neg","pos","sentiment"
"1","1",0,4,4
"2","10",0,1,1
"3","1000",1,6,5
"4","1001",0,5,5
"5","1002",0,4,4
"6","1003",1,0,-1
"7","1005",1,0,-1
"8","1007",0,3,3
"9","1008",1,0,-1
"10","1009",3,1,-2
"11","101",0,1,1
"12","1010",0,4,4
"13","1011",6,29,23
"14","1012",0,1,1
"15","1013",0,1,1
"16","1014",2,3,1
"17","1015",0,0,0
"18","1016",2,3,1
"19","1017",2,1,-1
"20","1018",1,6,5
"21","102",0,2,2
"22","1021",1,5,4
"23","1022",4,38,34
"24","1024",1,6,5
"25","1025",0,1,1
"26","1026",0,1,1
"27","1027",3,14,11
"28","1028",0,4,4
"29","103",3,4,1
"30","1030",0,10,10
"31","1031",2,2,0
"32","1032",1,1,0
"33","1033",0,1,1
"34","1034",1,1,0
"35","1036",1,1,0
"36","1037",0,1,1
"37","1038",0,6,6
"38","1039",0,1,1
"39","104",1,2,1
"40","1040",1,7,6
"41","1041",0,0,0
"42","1044",0,0,0
"43","1045",0,5,5
"44","1046",0,2,2
"45","1047",1,4,3
"46","1048",1,2,1
"47","105",1,0,-1
"48","1050",0,0,0
"49","106",0,0,0
"50","107",0,0,0
"51","108",2,1,-1
"52","11",0,1,1
"53","110",0,6,6
"54","111",0,0,0
"55","113",0,1,1
"56","114",0,4,4
"57","115",1,5,4
"58","116",1,3,2
"59","117",0,1,1
"60","118",0,3,3
"61","119",0,0,0
"62","12",0,0,0
"63","120",1,2,1
"64","121",0,2,2
"65","122",0,1,1
"66","123",0,1,1
"67","124",0,1,1
"68","125",2,3,1
"69","126",0,1,1
"70","128",0,1,1
"71","129",0,7,7
"72","13",0,0,0
"73","130",0,4,4
"74","131",0,1,1
"75","132",0,0,0
"76","133",0,0,0
"77","134",0,11,11
"78","135",0,3,3
"79","136",0,2,2
"80","137",1,9,8
"81","138",0,0,0
"82","139",0,1,1
"83","14",3,26,23
"84","140",0,0,0
"85","141",0,3,3
"86","142",2,8,6
"87","143",0,1,1
"88","144",0,0,0
"89","145",0,1,1
"90","146",0,4,4
"91","147",0,1,1
"92","148",2,4,2
"93","149",1,1,0
"94","150",0,1,1
"95","151",1,8,7
"96","152",1,3,2
"97","153",0,5,5
"98","154",0,7,7
"99","156",2,2,0
"100","157",0,3,3
"101","159",1,0,-1
"102","16",0,2,2
"103","160",0,0,0
"104","162",0,10,10
"105","163",0,1,1
"106","164",0,1,1
"107","165",3,2,-1
"108","166",0,3,3
"109","167",0,1,1
"110","168",1,4,3
"111","169",0,1,1
"112","170",0,1,1
"113","171",2,5,3
"114","172",1,3,2
"115","173",0,1,1
"116","174",0,1,1
"117","175",2,2,0
"118","176",0,3,3
"119","177",0,1,1
"120","178",0,1,1
"121","179",1,1,0
"122","18",1,4,3
"123","180",0,2,2
"124","181",0,1,1
"125","183",1,2,1
"126","185",1,11,10
"127","186",0,3,3
"128","188",1,1,0
"129","189",0,2,2
"130","19",0,2,2
"131","190",0,2,2
"132","191",0,0,0
"133","192",0,1,1
"134","193",0,4,4
"135","194",3,1,-2
"136","195",5,11,6
"137","196",2,7,5
"138","197",0,6,6
"139","199",0,1,1
"140","2",1,0,-1
"141","20",1,0,-1
"142","200",0,3,3
"143","202",2,0,-2
"144","204",1,3,2
"145","205",0,2,2
"146","206",0,4,4
"147","207",0,0,0
"148","208",0,1,1
"149","209",0,0,0
"150","21",0,10,10
"151","211",0,6,6
"152","212",1,2,1
"153","213",0,0,0
"154","214",0,1,1
"155","215",0,1,1
"156","216",0,1,1
"157","217",1,0,-1
"158","218",1,0,-1
"159","219",1,0,-1
"160","22",1,8,7
"161","220",1,0,-1
"162","221",2,1,-1
"163","222",0,1,1
"164","223",0,5,5
"165","225",1,1,0
"166","226",1,5,4
"167","227",1,1,0
"168","228",0,3,3
"169","229",1,3,2
"170","23",1,3,2
"171","230",0,0,0
"172","233",0,1,1
"173","235",1,5,4
"174","236",0,2,2
"175","237",1,2,1
"176","239",2,0,-2
"177","24",1,0,-1
"178","240",0,6,6
"179","241",0,4,4
"180","242",0,0,0
"181","243",0,1,1
"182","244",0,3,3
"183","245",3,5,2
"184","246",0,8,8
"185","247",0,2,2
"186","248",0,3,3
"187","249",0,8,8
"188","25",0,0,0
"189","250",0,3,3
"190","251",0,3,3
"191","252",0,8,8
"192","254",0,0,0
"193","255",0,2,2
"194","256",0,8,8
"195","258",0,7,7
"196","259",1,3,2
"197","26",2,3,1
"198","261",1,1,0
"199","262",0,2,2
"200","263",0,1,1
"201","264",2,1,-1
"202","265",0,4,4
"203","266",1,0,-1
"204","267",1,2,1
"205","268",1,1,0
"206","269",0,6,6
"207","27",2,5,3
"208","270",0,0,0
"209","271",0,4,4
"210","272",0,1,1
"211","273",5,7,2
"212","274",2,5,3
"213","275",0,1,1
"214","276",0,1,1
"215","277",0,1,1
"216","279",0,1,1
"217","28",0,1,1
"218","280",1,6,5
"219","281",0,0,0
"220","284",1,3,2
"221","285",0,0,0
"222","286",0,5,5
"223","287",0,1,1
"224","288",0,4,4
"225","289",1,8,7
