"","term2","Freq"
"675","pool",65
"429","hotel",48
"754","room",45
"235","december",33
"602","november",33
"855","stayed",29
"176","check",26
"609","october",26
"35","amazing",24
"844","staff",21
"978","view",21
"456","infinity",20
"781","september",20
"471","just",16
"881","swimming",16
"784","service",15
"352","floor",14
"756","rooms",14
"188","clean",13
"396","great",13
"618","only",13
"808","singapore",13
"506","location",12
"588","nice",12
"102","bay",11
"356","food",11
"589","night",11
"315","excellent",10
"368","friendly",10
"679","poolstayed",10
"332","facilities",9
"381","gardens",9
"659","people",9
"107","bed",8
"124","bit",8
"150","can",8
"233","day",8
"323","experience",8
"672","pm",8
"795","shopping",8
"1023","will",8
"1037","worth",8
"87","back",7
"241","desk",7
"321","expensive",7
"483","late",7
"511","long",7
"979","views",7
"1008","went",7
"9","access",6
"121","big",6
"132","breakfast",6
"431","hotelstayed",6
"537","marina",6
"619","open",6
"689","price",6
"727","reception",6
"847","standard",6
"854","stay",6
"885","take",6
"914","time",6
"1007","well",6
"34","am",5
"116","best",5
"191","close",5
"264","door",5
"420","helpful",5
"501","little",5
"532","mall",5
"542","mbs",5
"563","money",5
"583","need",5
"669","place",5
"712","queue",5
"746","restaurants",5
"748","right",5
"1034","world",5
"91","balcony",4
"105","beautiful",4
"134","brilliant",4
"185","city",4
"200","coming",4
"238","definitely",4
"317","expect",4
"319","expected",4
"335","fantastic",4
"340","feel",4
"402","gym",4
"430","hotels",4
"519","lounge",4
"624","options",4
"657","pay",4
"773","see",4
"800","show",4
"811","size",4
"812","sky",4
"835","spacious",4
"850","star",4
"856","staying",4
"947","truly",4
"986","wait",4
"988","waiting",4
"38","amazingstayed",3
"44","annoying",3
"53","area",3
"62","arrived",3
"73","attraction",3
"81","away",3
"82","awesome",3
"98","bathroom",3
"166","centre",3
"197","comfortable",3
"221","course",3
"227","crowded",3
"234","days",3
"276","early",3
"287","elevators",3
"327","extremely",3
"347","find",3
"364","free",3
"372","front",3
"400","guests",3
"419","help",3
"436","huge",3
"485","left",3
"505","lobby",3
"522","luggage",3
"524","luxury",3
"569","mrt",3
"614","old",3
"646","overpriced",3
"686","prepared",3
"700","professional",3
"752","roof",3
"760","safe",3
"772","security",3
"786","servicestayed",3
"816","slow",3
"857","staystayed",3
"861","still",3
"872","super",3
"891","th",3
"922","took",3
