"","term3","Freq"
"1829","pool",347
"2043","room",285
"1167","hotel",239
"1632","november",196
"639","december",185
"2634","view",168
"1647","october",165
"2304","stayed",158
"86","amazing",140
"2282","staff",139
"1070","great",130
"426","check",109
"1237","infinity",108
"2123","september",86
"2303","stay",77
"2127","service",74
"1405","location",70
"2638","views",68
"321","breakfast",67
"986","food",65
"887","expensive",59
"2384","swimming",55
"977","floor",54
"2044","rooms",54
"1872","price",53
"248","bed",52
"1834","poolstayed",52
"457","city",51
"1671","only",51
"2185","singapore",51
"371","can",50
"1604","night",50
"234","bay",48
"1011","friendly",48
"1307","just",48
"1601","nice",48
"1759","people",44
"2473","time",43
"2699","well",43
"13","access",38
"267","best",38
"509","comfortable",38
"2008","restaurants",38
"137","area",37
"228","bathroom",37
"486","club",37
"925","facilities",37
"277","big",36
"609","crowded",36
"865","excellent",36
"1467","marina",36
"1795","place",36
"2431","th",36
"938","fantastic",35
"1029","gardens",35
"895","experience",33
"2494","top",33
"242","beautiful",32
"464","clean",32
"1410","long",31
"1764","perfect",31
"1140","high",30
"2753","worth",30
"751","drinks",29
"2720","will",29
"287","bit",28
"1127","helpful",28
"909","extra",27
"1293","january",27
"2154","shopping",26
"1007","free",25
"635","day",24
"682","didn",24
"833","especially",24
"2102","see",24
"653","definitely",23
"1457","mall",23
"2040","roof",23
"2041","rooftop",23
"773","easy",22
"1394","little",22
"2294","star",22
"195","awesome",21
"1183","huge",21
"2677","water",21
"355","busy",20
"1427","lovely",20
"2069","sands",20
"2682","way",20
"201","back",19
"1135","here",19
"1220","included",19
"1445","made",19
"1544","money",19
"213","bar",18
"300","booked",18
"1756","pay",18
"2254","spacious",18
"2306","staying",18
"2491","took",18
"84","am",17
"261","being",17
"301","booking",17
"1338","large",17
"1426","loved",17
"1922","quality",17
"2007","restaurant",17
"2199","size",17
"813","enjoy",16
"885","expected",16
"1028","garden",16
"1168","hotels",16
"1401","lobby",16
"1733","paid",16
"2219","small",16
"2265","spectacular",16
"9","absolutely",15
"90","amazingstayed",15
"252","beds",15
"965","find",15
"1002","found",15
"1084","guests",15
"1227","incredible",15
"1425","love",15
"1483","mbs",15
"1590","need",15
"1875","prices",15
"1969","reception",15
"2047","roomstayed",15
"2162","shower",15
"2640","viewstayed",15
"2643","visit",15
"430","checkout",14
"912","extremely",14
"952","feel",14
"1170","hotelstayed",14
"1406","locationstayed",14
"1422","lounge",14
"1665","once",14
"1837","poor",14
"2351","suite",14
"2363","super",14
"2617","ve",14
"2653","waiting",14
"62","airport",13
"480","close",13
"642","deck",13
"856","everythingstayed",13
"940","far",13
"1049","given",13
