"","ID","neg","pos","sentiment"
"1","1",0,0,0
"2","10",1,0,-1
"3","1000",1,4,3
"4","1001",1,0,-1
"5","1002",0,3,3
"6","1003",1,0,-1
"7","1004",1,0,-1
"8","1005",1,1,0
"9","1006",0,1,1
"10","1007",0,3,3
"11","1008",0,2,2
"12","1009",4,5,1
"13","101",3,1,-2
"14","1010",0,3,3
"15","1011",3,13,10
"16","1012",1,0,-1
"17","1013",1,1,0
"18","1014",1,1,0
"19","1015",0,4,4
"20","1016",2,3,1
"21","1017",1,0,-1
"22","1018",6,2,-4
"23","1019",0,1,1
"24","1020",1,0,-1
"25","1021",0,1,1
"26","1022",8,24,16
"27","1024",2,1,-1
"28","1025",1,0,-1
"29","1026",0,0,0
"30","1027",9,14,5
"31","1028",0,1,1
"32","1029",1,0,-1
"33","103",0,4,4
"34","1030",0,3,3
"35","1031",2,4,2
"36","1032",2,1,-1
"37","1035",1,0,-1
"38","1036",0,7,7
"39","1037",0,1,1
"40","1038",0,3,3
"41","1039",0,1,1
"42","104",1,1,0
"43","1040",1,5,4
"44","1041",0,2,2
"45","1042",0,1,1
"46","1043",0,0,0
"47","1044",0,0,0
"48","1045",0,0,0
"49","1046",1,0,-1
"50","1047",0,0,0
"51","1048",1,0,-1
"52","1049",0,1,1
"53","105",1,0,-1
"54","106",1,1,0
"55","108",0,0,0
"56","11",1,2,1
"57","110",3,1,-2
"58","111",0,1,1
"59","112",0,4,4
"60","114",1,0,-1
"61","115",2,2,0
"62","116",2,3,1
"63","118",0,1,1
"64","119",0,2,2
"65","12",1,3,2
"66","120",0,3,3
"67","121",1,3,2
"68","122",1,2,1
"69","123",0,4,4
"70","125",0,1,1
"71","126",0,2,2
"72","127",1,0,-1
"73","128",1,1,0
"74","129",2,0,-2
"75","13",0,1,1
"76","130",2,0,-2
"77","131",0,0,0
"78","133",0,1,1
"79","134",0,8,8
"80","135",0,3,3
"81","136",2,7,5
"82","137",3,2,-1
"83","138",0,2,2
"84","139",0,1,1
"85","14",8,54,46
"86","140",0,1,1
"87","141",1,4,3
"88","142",3,6,3
"89","144",0,0,0
"90","145",0,1,1
"91","146",0,1,1
"92","147",0,1,1
"93","148",2,11,9
"94","149",0,0,0
"95","150",0,4,4
"96","151",0,2,2
"97","152",0,2,2
"98","153",0,2,2
"99","154",2,4,2
"100","155",1,0,-1
"101","156",3,4,1
"102","157",0,0,0
"103","158",0,0,0
"104","159",0,2,2
"105","16",1,1,0
"106","160",1,0,-1
"107","162",1,4,3
"108","163",0,1,1
"109","165",0,2,2
"110","166",3,2,-1
"111","167",0,4,4
"112","168",2,2,0
"113","169",0,1,1
"114","17",0,1,1
"115","171",2,7,5
"116","172",2,2,0
"117","173",0,1,1
"118","174",0,2,2
"119","175",0,4,4
"120","176",0,2,2
"121","177",0,1,1
"122","178",2,0,-2
"123","179",3,1,-2
"124","18",3,6,3
"125","180",0,1,1
"126","181",0,0,0
"127","183",2,1,-1
"128","184",0,1,1
"129","185",3,8,5
"130","186",1,1,0
"131","187",0,0,0
"132","188",0,3,3
"133","19",0,4,4
"134","190",0,4,4
"135","191",0,1,1
"136","193",1,3,2
"137","194",0,0,0
"138","195",1,9,8
"139","196",2,5,3
"140","197",1,3,2
"141","198",1,1,0
"142","199",0,2,2
"143","2",0,1,1
"144","20",0,2,2
"145","200",0,2,2
"146","201",0,2,2
"147","202",0,1,1
"148","204",0,3,3
"149","205",0,1,1
"150","206",3,6,3
"151","207",0,0,0
"152","21",4,19,15
"153","210",0,0,0
"154","211",0,0,0
"155","212",0,4,4
"156","213",0,0,0
"157","214",0,1,1
"158","215",0,1,1
"159","216",0,0,0
"160","217",0,2,2
"161","218",0,2,2
"162","219",0,0,0
"163","22",0,14,14
"164","220",0,0,0
"165","221",0,1,1
"166","222",1,0,-1
"167","223",1,1,0
"168","224",1,0,-1
"169","225",0,2,2
"170","226",1,1,0
"171","227",0,2,2
"172","228",1,3,2
"173","229",2,1,-1
"174","23",3,3,0
"175","230",1,1,0
"176","231",0,3,3
"177","232",0,1,1
"178","233",1,2,1
"179","235",1,3,2
"180","236",1,1,0
"181","237",1,2,1
"182","238",0,0,0
"183","239",0,5,5
"184","24",2,3,1
"185","240",0,5,5
"186","241",1,1,0
"187","242",1,0,-1
"188","243",0,0,0
"189","244",0,0,0
"190","245",0,3,3
"191","246",2,7,5
"192","247",1,1,0
"193","248",1,2,1
"194","249",0,1,1
"195","25",2,4,2
"196","250",0,0,0
"197","251",0,2,2
"198","252",1,1,0
"199","253",0,2,2
"200","254",1,0,-1
"201","255",1,1,0
"202","256",0,6,6
"203","258",1,4,3
"204","259",0,4,4
"205","26",4,12,8
"206","260",1,0,-1
"207","261",2,2,0
"208","262",0,5,5
"209","263",0,3,3
"210","264",0,5,5
"211","265",1,0,-1
"212","266",1,2,1
"213","267",1,9,8
"214","268",0,2,2
"215","269",0,2,2
"216","27",3,13,10
"217","270",0,1,1
"218","271",0,2,2
"219","272",1,1,0
"220","273",3,5,2
"221","274",0,8,8
"222","275",0,2,2
"223","276",1,1,0
"224","277",0,3,3
"225","28",4,5,1
"226","280",2,6,4
"227","281",1,0,-1
"228","282",1,1,0
"229","283",1,0,-1
"230","284",1,2,1
"231","286",0,2,2
"232","287",0,1,1
"233","288",2,0,-2
"234","289",2,3,1
"235","29",3,22,19
"236","290",0,2,2
"237","292",2,1,-1
"238","294",0,2,2
"239","295",1,5,4
"240","296",0,2,2
"241","297",1,6,5
"242","298",0,0,0
"243","3",0,0,0
"244","30",1,2,1
"245","300",1,5,4
"246","301",0,3,3
"247","302",2,0,-2
"248","303",0,4,4
"249","304",0,2,2
"250","305",1,0,-1
"251","306",0,0,0
"252","308",0,3,3
"253","309",4,22,18
"254","31",1,5,4
"255","310",0,2,2
"256","311",1,4,3
"257","312",0,3,3
"258","313",4,14,10
"259","314",5,18,13
"260","315",0,2,2
"261","316",0,1,1
"262","317",0,1,1
"263","318",1,4,3
"264","319",1,0,-1
"265","32",1,1,0
"266","320",1,3,2
"267","321",1,13,12
"268","322",0,2,2
"269","323",1,7,6
"270","324",1,0,-1
"271","326",2,6,4
"272","327",0,4,4
"273","328",2,10,8
"274","329",2,0,-2
"275","33",1,1,0
"276","330",0,1,1
"277","331",1,1,0
"278","332",0,0,0
"279","333",4,1,-3
"280","334",3,3,0
"281","336",0,1,1
"282","338",1,2,1
"283","339",0,1,1
