"","term2","Freq"
"865","room",62
"491","hotel",50
"956","staff",42
"774","pool",35
"115","bed",25
"586","location",23
"682","nice",23
"147","breakfast",22
"964","stayed",22
"413","friendly",18
"626","may",18
"439","great",16
"539","july",16
"963","stay",16
"83","august",14
"275","december",14
"894","service",14
"188","check",13
"351","excellent",13
"449","gym",13
"476","helpful",13
"63","april",12
"866","rooms",12
"365","extra",11
"403","food",11
"408","free",11
"201","clean",10
"698","november",10
"66","area",9
"272","day",9
"416","front",9
"620","march",9
"699","october",9
"891","september",9
"913","shower",9
"1129","will",9
"44","am",8
"134","bit",8
"218","comfortable",8
"220","comfy",8
"231","complimentary",8
"369","facilities",8
"533","january",8
"659","mrt",8
"685","night",8
"984","swimming",8
"1028","time",8
"210","club",7
"397","floor",7
"600","love",7
"760","place",7
"107","bathroom",6
"151","bugis",6
"320","easy",6
"543","just",6
"581","little",6
"791","price",6
"949","spacious",6
"1071","upgrade",6
"1094","walk",6
"1104","water",6
"1111","well",6
"94","back",5
"126","best",5
"154","bus",5
"233","concierge",5
"276","definitely",5
"342","especially",5
"360","expensive",5
"673","need",5
"708","old",5
"749","people",5
"827","recommend",5
"854","restaurant",5
"860","road",5
"1079","value",5
"1089","view",5
"30","air",4
"45","amazing",4
"64","arab",4
"67","areastayed",4
"75","asked",4
"96","bad",4
"141","booked",4
"164","can",4
"221","comfystayed",4
"243","convenient",4
"261","credit",4
"281","desk",4
"297","distance",4
"318","early",4
"374","fantastic",4
"382","february",4
"436","goodstayed",4
"455","halal",4
"492","hotelstayed",4
"502","huge",4
"560","lane",4
"588","locationstayed",4
"589","long",4
"610","made",4
"713","only",4
"717","options",4
"719","orchid",4
"746","pay",4
"770","pm",4
"819","ready",4
"841","renovation",4
"856","restaurants",4
"881","second",4
"910","shops",4
"931","small",4
"970","street",4
"978","super",4
"996","taxi",4
"1095","walking",4
"1137","wonderful",4
"1139","work",4
"2","able",3
"7","access",3
"12","account",3
"50","amount",3
"72","arrived",3
"101","banquet",3
"108","bathtub",3
"109","bay",3
"112","beach",3
"130","big",3
"163","came",3
"167","card",3
"186","charged",3
"189","checked",3
"213","cold",3
"270","dated",3
"304","dollars",3
"305","don",3
"309","drinks",3
"333","enjoyed",3
"389","first",3
"417","full",3
"421","gave",3
"426","given",3
"454","haji",3
"460","handy",3
"497","housekeeping",3
