"","term3","Freq"
"2383","room",339
"1376","hotel",234
"2657","staff",226
"2134","pool",170
"1238","great",156
"359","breakfast",155
"1647","location",140
"279","bed",110
"2690","stayed",101
"1877","nice",98
"474","check",88
"1157","friendly",87
"730","december",83
"557","comfortable",77
"2390","rooms",74
"154","april",71
"212","august",71
"516","clean",71
"1328","helpful",71
"2479","service",70
"1116","food",69
"2686","stay",69
"1532","july",68
"160","area",63
"1519","january",59
"1938","october",57
"971","excellent",55
"1925","november",54
"1535","june",51
"3113","well",50
"3049","view",49
"2472","september",47
"1629","little",45
"1739","may",43
"1536","just",42
"1728","march",42
"1968","only",42
"410","can",41
"530","close",38
"1818","mrt",38
"720","day",37
"1142","free",37
"2533","shower",37
"2550","singapore",36
"1896","noise",35
"310","big",34
"1885","night",34
"2875","time",34
"538","club",33
"783","didn",33
"1027","facilities",33
"1577","late",33
"1954","old",33
"3073","walk",33
"156","arab",32
"1046","fantastic",32
"262","bathroom",31
"1260","gym",30
"1700","made",30
"2666","staffstayed",30
"108","am",29
"2780","swimming",29
"378","bugis",28
"1164","front",28
"1681","lovely",28
"2123","pm",28
"287","beds",27
"319","bit",27
"2628","spacious",27
"2683","station",27
"1064","february",26
"1852","need",26
"2175","price",26
"2893","told",26
"340","booking",25
"376","buffet",25
"3144","will",25
"1228","goodstayed",24
"2269","reception",24
"339","booked",23
"771","desk",23
"1014","extra",23
"1652","locationstayed",23
"76","air",22
"296","being",22
"2357","restaurants",22
"2580","small",22
"3133","who",22
"235","back",21
"602","concierge",21
"881","easy",21
"943","especially",21
"1102","floor",21
"2084","phone",21
"2378","road",21
"238","bad",20
"564","comfy",20
"744","definitely",20
"15","access",19
"81","airport",19
"1573","large",19
"2719","street",19
"3000","upgrade",19
"3001","upgraded",19
"189","asked",18
"251","bar",18
"341","bookingcom",18
"874","early",18
"997","expensive",18
"2073","perfect",18
"301","best",17
"385","bus",17
"2062","pay",17
"2099","pillows",17
"2101","place",17
"2356","restaurant",17
"2374","right",17
"2393","roomstayed",17
"3029","value",17
"3096","water",17
"862","due",16
"1091","first",16
"1222","going",16
"1255","guests",16
"1675","lounge",16
"1795","mobile",16
"2458","selection",16
"2664","staffs",16
"2759","super",16
"188","ask",15
"509","city",15
"546","cold",15
"855","drinks",15
"1214","given",15
"1286","handy",15
"1343","high",15
"1642","local",15
"1645","located",15
"1899","noisy",15
"1980","options",15
"2143","poor",15
"2225","quiet",15
"2274","recommend",15
"2564","size",15
"456","change",14
"465","charge",14
"560","comfortablestayed",14
"814","distance",14
"1338","here",14
"1382","hotels",14
"1404","huge",14
"1783","minutes",14
"2104","places",14
"2142","poolstayed",14
"2704","still",14
"3093","wasn",14
"3161","work",14
"260","bath",13
"638","convenient",13
"722","days",13
"1273","halal",13
"1332","helpfulstayed",13
