"","term2","Freq"
"1094","room",101
"979","pool",73
"601","hotel",44
"166","breakfast",42
"107","beach",39
"742","location",32
"891","october",28
"547","great",26
"312","december",24
"1222","staff",24
"1240","stayed",24
"1075","resort",22
"1457","water",22
"1488","wifi",22
"507","friendly",21
"374","eco",18
"792","may",18
"1139","september",18
"61","area",17
"119","bed",17
"1283","swimming",17
"898","old",16
"1141","service",16
"1155","shower",16
"187","can",15
"338","dirty",15
"862","nice",15
"1239","stay",15
"79","august",14
"225","clean",14
"683","july",14
"1048","reception",14
"1182","small",14
"143","bit",13
"679","january",13
"785","march",13
"1095","rooms",13
"903","only",12
"885","november",11
"1093","roof",11
"1218","spring",11
"1337","time",11
"211","check",10
"490","food",10
"684","june",10
"865","night",10
"982","poolstayed",10
"984","poor",10
"1431","view",10
"404","environment",9
"693","kids",9
"844","natural",9
"853","needs",9
"962","place",9
"1237","station",9
"1471","well",9
"58","april",8
"102","bathroom",8
"172","buffet",8
"230","cleanliness",8
"308","day",8
"737","little",8
"851","need",8
"897","ok",8
"953","people",8
"998","price",8
"1363","tram",8
"39","am",7
"90","bad",7
"456","family",7
"544","goodstayed",7
"687","just",7
"733","limited",7
"759","loved",7
"770","made",7
"775","maintained",7
"974","pm",7
"1136","sentosa",7
"1166","siloso",7
"1217","spread",7
"1359","towels",7
"1421","variety",7
"1458","waterfall",7
"1475","wet",7
"130","being",6
"132","best",6
"138","big",6
"170","broken",6
"233","close",6
"244","comfortable",6
"427","excellent",6
"486","floor",6
"497","free",6
"599","hot",6
"710","late",6
"724","level",6
"758","love",6
"852","needed",6
"1183","smell",6
"1208","special",6
"7","access",5
"17","adults",5
"40","amazing",5
"99","basic",5
"111","beachstayed",5
"114","beautiful",5
"174","bus",5
"248","comfy",5
"442","extra",5
"447","facilities",5
"511","front",5
"550","green",5
"559","guests",5
"584","helpful",5
"614","huge",5
"751","looks",5
"868","nil",5
"876","noisy",5
"935","paid",5
"957","phone",5
"1009","property",5
"1018","quality",5
"1100","run",5
"1128","see",5
"1160","side",5
"1178","slides",5
"1273","sure",5
"1353","top",5
"1354","totally",5
"1412","using",5
"1483","whole",5
"52","ants",4
"69","ask",4
"85","away",4
"158","bookingcom",4
"168","breakfaststayed",4
"182","cafe",4
"190","car",4
"193","carpark",4
"290","croissants",4
"295","curtain",4
"316","definitely",4
"329","didn",4
"351","don",4
"364","due",4
"367","dusty",4
"372","easy",4
"402","entrance",4
"464","february",4
"469","feels",4
"479","first",4
"516","full",4
"535","given",4
"558","guest",4
"561","gym",4
"571","hard",4
"579","head",4
"678","jacuzzi",4
"746","long",4
"760","lovely",4
"816","money",4
"997","pretty",4
"1083","restaurant",4
"1103","rusty",4
"1132","selection",4
"1163","signal",4
"1175","sleep",4
"1249","still",4
"1341","tired",4
"1345","toilet",4
"1380","tv",4
"1416","value",4
"1444","walking",4
"1482","who",4
"1491","window",4
"1504","working",4
"1506","world",4
"3","able",3
"6","ac",3
"26","aircon",3
"63","areastayed",3
"95","bar",3
"100","bath",3
"145","black",3
"149","blocked",3
"157","booking",3
"199","ceiling",3
"206","change",3
"207","charged",3
"220","chlorine",3
"226","cleaned",3
"240","cold",3
"255","concept",3
"280","cost",3
"296","curtains",3
"322","design",3
"330","didnt",3
"354","door",3
"389","energy",3
"394","enjoyed",3
"399","entertainment",3
"406","environmentally",3
"411","especially",3
"428","excellentstayed",3
"443","extremely",3
"446","face",3
"470","feet",3
"481","fix",3
"495","found",3
"504","fridge",3
"517","fun",3
"522","garden",3
"524","gave",3
"528","generally",3
"537","glass",3
"586","here",3
"587","high",3
"591","hold",3
"630","improve",3
"689","keeping",3
"691","kept",3
"709","last",3
"713","laundry",3
"729","liked",3
"749","look",3
"750","looking",3
"756","loud",3
"762","low",3
"815","mold",3
"820","monorail",3
"832","mouldy",3
"845","nature",3
"864","nicestayed",3
"867","nights",3
"874","noise",3
"892","odd",3
"921","outdoor",3
"942","part",3
"956","perfect",3
"960","pillow",3
"980","pools",3
"985","poorly",3
"1003","private",3
"1008","properly",3
"1059","relax",3
"1071","requested",3
"1087","right",3
"1109","salt",3
"1143","services",3
"1159","shuttle",3
"1167","singapore",3
"1170","sink",3
"1173","sized",3
"1224","staffstayed",3
"1231","star",3
"1257","strong",3
"1266","suite",3
"1279","sustainable",3
"1288","table",3
"1291","take",3
"1300","taxi",3
"1324","think",3
"1338","times",3
"1350","took",3
"1358","towel",3
"1382","type",3
"1402","upgrade",3
"1403","upgraded",3
"1443","walk",3
"1449","warm",3
"1456","watch",3
"1459","waterfallstayed",3
"1490","will",3
"1509","worth",3
"2","abit",2
"30","allowed",2
"44","ambiencestayed",2
"46","amount",2
"62","areas",2
"80","automatically",2
"81","availability",2
"89","back",2
"91","badly",2
"92","bags",2
"123","bedsheets",2
"125","bee",2
"141","bill",2
"160","boring",2
"164","bread",2
"175","business",2
"180","cable",2
"183","call",2
"191","care",2
"205","chance",2
"215","chicken",2
"223","city",2
"224","class",2
"235","clothes",2
"242","come",2
"257","condition",2
"261","connect",2
"269","controlled",2
"270","convenientstayed",2
"279","cos",2
"285","couldnt",2
"291","croissantsstayed",2
"298","customer",2
"310","days",2
"313","decent",2
"314","deck",2
"335","dinner",2
"340","disappointed",2
"341","disappointment",2
"346","distance",2
"349","doesn",2
"353","dont",2
"362","dry",2
"363","dryer",2
"370","early",2
"383","employ",2
"384","employed",2
"392","english",2
"400","entire",2
"407","environmentstayed",2
"417","evening",2
"419","event",2
"426","example",2
"438","expensive",2
"445","fabulous",2
"455","families",2
"458","fantastic",2
"461","fast",2
"462","faulty",2
"468","feel",2
"474","fi",2
"476","filled",2
"523","gardens",2
"536","giving",2
"554","grounds",2
"560","guy",2
"567","ham",2
"580","health",2
"583","help",2
"595","hoon",2
"596","hop",2
"598","horrible",2
"603","hotels",2
"606","hours",2
"607","house",2
"615","humid",2
"617","husband",2
"631","improved",2
"632","improvement",2
"649","insects",2
"655","intention",2
"656","interesting",2
"660","internet",2
"664","ionised",2
"666","island",2
"668","isn",2
"682","juice",2
"692","kid",2
"698","know",2
"720","leave",2
"721","leaves",2
"727","lights",2
"748","longest",2
"776","maintenance",2
"779","makes",2
"780","mall",2
"799","mentioned",2
"800","menu",2
"810","minutes",2
"837","music",2
"856","network",2
"859","new",2
"877","non",2
"888","obviously",2
"901","once",2
"937","paint",2
"963","placed",2
"965","plastic",2
"966","plates",2
"999","pricestayed",2
"1002","prior",2
"1020","queen",2
"1035","rate",2
"1044","reason",2
"1046","received",2
"1049","recommend",2
"1061","relaxing",2
"1067","renovation",2
"1098","rubber",2
"1106","safe",2
"1107","safety",2
"1118","saw",2
"1123","sea",2
"1137","sentosastayed",2
"1140","seriously",2
"1144","set",2
"1145","setting",2
"1151","sheet",2
"1162","sign",2
"1165","silicon",2
"1169","single",2
"1180","slippers",2
"1181","slippery",2
"1192","soft",2
"1205","spacious",2
"1215","spot",2
"1221","st",2
"1223","staffsstayed",2
"1226","stain",2
"1228","standard",2
"1232","starhub",2
"1245","staystayed",2
"1267","sun",2
"1270","superior",2
"1275","surrounding",2
"1296","taste",2
"1299","tasty",2
"1307","terrible",2
"1309","th",2
"1326","tho",2
"1348","told",2
"1355","touch",2
"1357","tour",2
"1362","trail",2
"1366","travel",2
"1374","trip",2
"1378","tub",2
"1384","tyres",2
"1390","uncomfortable",2
"1393","unfortunately",2
"1419","varied",2
"1420","varieties",2
"1436","visit",2
"1439","vivo",2
"1446","walls",2
"1454","wasn",2
"1463","way",2
"1470","welcoming",2
"1486","wi",2
"1492","windows",2
"1501","work",2
"1505","works",2
"1515","young",2
"5","absolutely",1
"8","accessibilitystayed",1
"9","accomodating",1
"10","achieve",1
"12","activities",1
"13","activitiesstayed",1
"14","additional",1
"15","additionally",1
"16","adjourning",1
"21","againstayed",1
"22","age",1
"23","aged",1
"24","agreed",1
"25","air",1
"27","airconditioning",1
"28","airport",1
"31","allstayed",1
"33","alot",1
"36","alternative",1
"41","amazingly",1
"42","ambiance",1
"43","ambience",1
"45","american",1
"49","angle",1
"50","answered",1
"51","anticipated",1
"53","antsno",1
"57","appetizing",1
"59","arctic",1
"64","aren",1
"66","arrivalpool",1
"67","arrogant",1
"70","asked",1
"72","attendant",1
"73","attending",1
"74","attention",1
"75","attentive",1
"76","attraction",1
"77","attractionstayed",1
"78","aug",1
"83","awake",1
"84","award",1
"86","awaystayed",1
"87","awesomestayed",1
"93","baked",1
"94","bakery",1
"96","bars",1
"97","barstayed",1
"98","based",1
"101","bathing",1
"103","bathrooms",1
"104","bathtub",1
"105","bathtubstayed",1
"108","beachesstayed",1
"109","beachfrontstayed",1
"110","beachside",1
"112","beachsuper",1
"113","bean",1
"115","beautifulso",1
"116","beautify",1
"117","bec",1
"120","bedroom",1
"121","beds",1
"122","bedsheet",1
"124","bedstayed",1
"126","beef",1
"129","behaviour",1
"131","believe",1
"134","betterrooms",1
"137","bidet",1
"139","bigger",1
"140","biggerstayed",1
"142","birds",1
"144","bitchallenging",1
"146","blah",1
"147","blanket",1
"148","blast",1
"150","blockedstayed",1
"151","blocking",1
"152","boatsstayed",1
"153","boiler",1
"154","bonding",1
"155","book",1
"156","booked",1
"159","bookings",1
"162","bother",1
"163","bothering",1
"165","break",1
"167","breakfastnot",1
"169","bring",1
"171","brushing",1
"173","bun",1
"176","busy",1
"179","cab",1
"181","caf",1
"184","called",1
"185","calls",1
"186","came",1
"188","cancellation",1
"189","capture",1
"192","cares",1
"194","carparking",1
"195","carry",1
"196","category",1
"197","cater",1
"198","causes",1
"200","center",1
"201","centrally",1
"202","cereal",1
"204","certainly",1
"208","charges",1
"209","cheap",1
"210","cheaper",1
"212","checked",1
"213","checking",1
"214","cheerfulstayed",1
"216","children",1
"217","chill",1
"218","chilled",1
"219","chlorinated",1
"221","chocolate",1
"222","choices",1
"227","cleanest",1
"228","cleaniness",1
"229","cleaning",1
"231","cleanlinessstayed",1
"232","clear",1
"234","closer",1
"236","clothesstayed",1
"237","cm",1
"238","coffee",1
"239","coin",1
"241","com",1
"243","comfort",1
"245","comfortablestayed",1
"246","comforter",1
"247","comfortstayed",1
"249","commingthey",1
"250","commitment",1
"251","compared",1
"252","complained",1
"253","completely",1
"254","comply",1
"256","conceptstayed",1
"258","conditioner",1
"259","confinementstayed",1
"260","confirmation",1
"262","connecting",1
"263","connection",1
"264","consciousstayed",1
"265","conserve",1
"266","consider",1
"267","contacted",1
"268","control",1
"271","convince",1
"272","cool",1
"273","cooler",1
"274","cooling",1
"275","corner",1
"276","corners",1
"277","corporate",1
"278","corridor",1
"281","costly",1
"282","cosy",1
"284","couldn",1
"286","couple",1
"287","courteous",1
"288","credentials",1
"289","crispy",1
"292","cubicle",1
"293","curfew",1
"294","current",1
"297","custard",1
"299","customers",1
"300","customization",1
"301","cut",1
"302","cutting",1
"304","damp",1
"305","dangerous",1
"306","danish",1
"307","daughters",1
"309","daylocation",1
"311","daystayed",1
"315","deco",1
"317","deliciousstayed",1
"318","deluxe",1
"319","dependent",1
"320","deserve",1
"321","deserves",1
"323","desk",1
"325","deteriorate",1
"326","devices",1
"327","diarhoea",1
"331","die",1
"333","difficult",1
"334","dining",1
"336","directly",1
"337","dirtiness",1
"339","disabilities",1
"342","disco",1
"343","discussed",1
"344","disgusting",1
"345","dishes",1
"356","dream",1
"357","drinks",1
"358","dripping",1
"359","drop",1
"360","dropped",1
"361","dropping",1
"365","duplex",1
"369","earlier",1
"371","earpiercing",1
"373","eats",1
"375","ecology",1
"376","ecopool",1
"377","edges",1
"378","edible",1
"380","egg",1
"381","eggs",1
"382","electronic",1
"385","employment",1
"386","empty",1
"387","end",1
"388","ended",1
"390","enforce",1
"391","engagedstayed",1
"393","enjoy",1
"396","enoughjust",1
"397","ensure",1
"398","entered",1
"401","entirely",1
"403","entry",1
"405","environmental",1
"408","equipment",1
"409","error",1
"410","esp",1
"412","especiallyhey",1
"413","espeically",1
"418","evenonce",1
"420","eventhough",1
"424","everythingstayed",1
"430","exceptionally",1
"431","exelent",1
"432","exemplary",1
"433","exhaust",1
"434","expect",1
"435","expectation",1
"436","expected",1
"437","expecting",1
"439","experience",1
"440","extend",1
"441","extensive",1
"444","fab",1
"448","facilitiesstaff",1
"449","facilitiesstayed",1
"450","facility",1
"452","failed",1
"453","fair",1
"454","fairly",1
"457","fan",1
"459","far",1
"460","farm",1
"463","feature",1
"465","fed",1
"466","fee",1
"467","feeding",1
"471","felexable",1
"472","felt",1
"475","figure",1
"477","find",1
"478","finish",1
"480","fittings",1
"482","fixed",1
"483","flash",1
"484","fleshing",1
"485","flood",1
"487","floors",1
"488","flutter",1
"489","focusstayed",1
"491","foodstayed",1
"493","forest",1
"494","forks",1
"496","freaky",1
"498","frequency",1
"499","frequently",1
"500","fresh",1
"501","freshly",1
"502","fri",1
"503","friday",1
"505","fried",1
"506","friendliness",1
"508","friendlystayed",1
"509","friends",1
"512","fronting",1
"513","frosted",1
"514","fruit",1
"515","fruits",1
"518","function",1
"519","furnitures",1
"525","gazebo",1
"526","gel",1
"527","general",1
"529","gentleman",1
"533","giant",1
"534","give",1
"538","glitch",1
"539","globe",1
"540","gloomy",1
"542","going",1
"546","grab",1
"548","greatblicationstayed",1
"549","greatstayed",1
"551","greenery",1
"552","greeted",1
"553","ground",1
"555","growing",1
"556","guava",1
"557","guess",1
"563","hair",1
"564","halal",1
"565","half",1
"566","hallway",1
"568","hand",1
"569","handle",1
"570","happen",1
"572","harried",1
"574","hated",1
"577","hazard",1
"581","healthy",1
"582","heard",1
"588","hire",1
"589","hiring",1
"592","holder",1
"593","holiday",1
"594","holidaymakers",1
"597","hopefully",1
"600","hotdog",1
"602","hotelcom",1
"604","hotelstayed",1
"605","hourly",1
"608","housekeeping",1
"611","hr",1
"612","hrmns",1
"613","hubby",1
"616","humidity",1
"619","icecream",1
"620","idea",1
"621","ideal",1
"623","im",1
"624","implemented",1
"625","impossible",1
"626","impressed",1
"627","impression",1
"628","impressions",1
"629","impressive",1
"633","improving",1
"635","included",1
"636","including",1
"637","inclusive",1
"639","independent",1
"640","indian",1
"641","infinity",1
"644","informativestayed",1
"645","initiatives",1
"646","initiativesstayed",1
"647","inquired",1
"648","inquiring",1
"651","inspired",1
"652","instayed",1
"654","insulation",1
"657","interestingstayed",1
"658","interial",1
"659","internally",1
"662","invests",1
"663","iodised",1
"667","islandstayed",1
"669","iss",1
"670","issued",1
"671","issuing",1
"673","itched",1
"674","item",1
"677","itstayed",1
"680","joking",1
"681","joyce",1
"685","jungle",1
"686","junglestayed",1
"688","justification",1
"690","kep",1
"694","kidsbreakfast",1
"695","kidzaniastayed",1
"696","kind",1
"697","kniveswe",1
"699","knowing",1
"700","knowledgable",1
"701","knowledge",1
"702","lacking",1
"703","lackingstayed",1
"704","lacks",1
"705","ladies",1
"706","lamps",1
"707","landscapestayed",1
"708","large",1
"711","laughing",1
"712","launderette",1
"714","leading",1
"715","leakage",1
"716","leaking",1
"717","leaky",1
"718","learning",1
"719","least",1
"722","led",1
"725","levelstayed",1
"726","lighting",1
"730","likes",1
"731","liking",1
"732","limit",1
"734","limitless",1
"735","line",1
"736","lipstick",1
"738","lizard",1
"739","lobbystayed",1
"740","local",1
"741","located",1
"743","locations",1
"744","locationstayed",1
"745","logging",1
"747","longer",1
"752","loop",1
"755","lotstayed",1
"757","lousy",1
"761","loves",1
"763","lower",1
"764","lowered",1
"765","luckily",1
"766","luge",1
"768","machineplay",1
"769","machines",1
"771","mai",1
"773","mainland",1
"774","mainly",1
"778","makeover",1
"781","man",1
"782","manager",1
"783","manually",1
"786","massage",1
"787","mat",1
"788","match",1
"789","matter",1
"790","mattress",1
"791","mattresses",1
"793","maybe",1
"795","meal",1
"796","means",1
"797","mediocre",1
"798","memorable",1
"801","menustayed",1
"802","meters",1
"803","midnight",1
"805","milk",1
"806","milky",1
"807","min",1
"808","mine",1
"809","mins",1
"811","mirror",1
"812","missing",1
"813","mn",1
"814","moist",1
"817","moneystayed",1
"818","monitor",1
"819","mono",1
"821","monorailstayed",1
"822","month",1
"824","morning",1
"825","mosquitoes",1
"827","moststayed",1
"828","motelstayed",1
"829","mould",1
"830","moulds",1
"831","mouldsstayed",1
"833","move",1
"834","mozzies",1
"836","mugs",1
"838","muslims",1
"843","nails",1
"846","nd",1
"847","ne",1
"849","necessity",1
"850","neck",1
"854","needsstayed",1
"855","neighbouring",1
"857","networks",1
"860","newly",1
"863","nicer",1
"866","nightmare",1
"869","nilstayed",1
"871","nob",1
"873","noice",1
"875","noises",1
"879","noodle",1
"881","normal",1
"883","notestayed",1
"886","number",1
"887","obtaining",1
"889","ocean",1
"890","oct",1
"895","office",1
"896","oily",1
"899","oldambience",1
"904","open",1
"905","opened",1
"906","operated",1
"907","opertunity",1
"908","option",1
"909","options",1
"910","optionstayed",1
"912","orange",1
"913","order",1
"914","organized",1
"915","orientated",1
"922","outdoors",1
"923","outlook",1
"925","outstandingstayed",1
"928","overcooked",1
"929","overheats",1
"930","overlook",1
"931","overlooking",1
"933","packed",1
"934","packedjust",1
"936","pain",1
"938","painting",1
"939","park",1
"940","parking",1
"941","parkstayed",1
"943","partially",1
"944","particles",1
"947","pastries",1
"948","paying",1
"949","peace",1
"950","peaceful",1
"951","peacock",1
"952","peacocks",1
"954","peoples",1
"958","picked",1
"959","pigeons",1
"961","pillows",1
"964","plants",1
"967","playing",1
"968","pleasantstayed",1
"970","pleasing",1
"972","plunges",1
"975","pmam",1
"976","pmstayed",1
"977","point",1
"978","polo",1
"981","poolsstayed",1
"983","poolusing",1
"986","popular",1
"987","pork",1
"988","porridge",1
"989","porter",1
"990","position",1
"991","post",1
"992","powedered",1
"993","premise",1
"994","premises",1
"995","prepared",1
"996","pressing",1
"1000","pricey",1
"1001","principles",1
"1005","problem",1
"1006","prompt",1
"1007","proper",1
"1010","prove",1
"1012","provider",1
"1014","proximity",1
"1015","pump",1
"1016","purple",1
"1017","quaint",1
"1019","quantity",1
"1021","quests",1
"1022","quick",1
"1023","quickstayed",1
"1024","quiet",1
"1025","quietness",1
"1026","quietnessstayed",1
"1028","rail",1
"1029","rails",1
"1030","rainforest",1
"1031","rainshower",1
"1032","ran",1
"1033","random",1
"1034","rapport",1
"1037","rating",1
"1038","ray",1
"1039","rd",1
"1040","reachstayed",1
"1041","real",1
"1042","realised",1
"1045","reasonable",1
"1047","receiving",1
"1050","recommending",1
"1051","refreshed",1
"1052","refund",1
"1053","refundable",1
"1054","refurbish",1
"1055","refurbished",1
"1056","refurbishment",1
"1057","refurbishments",1
"1060","relaxed",1
"1062","relaxstayed",1
"1063","released",1
"1064","remote",1
"1065","removed",1
"1066","renovated",1
"1068","repaintingstayed",1
"1069","repliesstayed",1
"1070","request",1
"1072","require",1
"1073","required",1
"1074","resemble",1
"1076","resorts",1
"1077","resortstayed",1
"1078","respect",1
"1080","responded",1
"1081","responsibilitiesstayed",1
"1082","rest",1
"1084","review",1
"1085","reviews",1
"1086","rice",1
"1088","roadmy",1
"1089","roaming",1
"1090","robes",1
"1091","rocks",1
"1092","rollaway",1
"1096","roomthank",1
"1097","router",1
"1099","rude",1
"1101","rundown",1
"1102","rustic",1
"1105","sad",1
"1110","saltish",1
"1112","sand",1
"1113","sandwich",1
"1114","sanitised",1
"1115","sat",1
"1116","satisfied",1
"1117","sausage",1
"1119","saystayed",1
"1120","scene",1
"1121","scenic",1
"1122","screeching",1
"1124","seal",1
"1125","secluded",1
"1126","second",1
"1127","seconds",1
"1131","seen",1
"1133","self",1
"1134","sensitive",1
"1135","sensota",1
"1138","separately",1
"1142","serviced",1
"1146","settingstayed",1
"1148","sgd",1
"1149","shakes",1
"1150","shame",1
"1152","shirt",1
"1153","short",1
"1156","showerhead",1
"1157","shoyld",1
"1158","shut",1
"1161","siew",1
"1164","signals",1
"1168","singaporestayed",1
"1171","site",1
"1172","size",1
"1174","skinstayed",1
"1176","slept",1
"1177","slide",1
"1179","slightly",1
"1184","smelling",1
"1185","smelly",1
"1186","smiling",1
"1187","smsllm",1
"1189","soap",1
"1190","social",1
"1191","socially",1
"1193","solitary",1
"1197","son",1
"1198","sort",1
"1199","sound",1
"1200","southern",1
"1201","spa",1
"1202","space",1
"1203","spacestayed",1
"1204","spacieuse",1
"1206","spaciousstayed",1
"1207","speak",1
"1209","specially",1
"1210","specials",1
"1211","specific",1
"1212","spectacular",1
"1213","spent",1
"1214","spin",1
"1216","spray",1
"1219","springs",1
"1220","squeaky",1
"1225","staffwater",1
"1227","stalls",1
"1229","standards",1
"1230","standardstayed",1
"1233","start",1
"1234","started",1
"1235","starting",1
"1236","starts",1
"1238","status",1
"1241","stayfront",1
"1242","staying",1
"1243","stayingstayed",1
"1244","staysstayed",1
"1246","step",1
"1247","sticking",1
"1248","sticky",1
"1252","stopthe",1
"1253","street",1
"1254","strictly",1
"1255","strip",1
"1256","stripper",1
"1258","strongly",1
"1259","stunning",1
"1260","style",1
"1261","succeed",1
"1263","sucksstayed",1
"1264","suit",1
"1265","suitable",1
"1268","sunshine",1
"1269","super",1
"1271","supplied",1
"1272","support",1
"1274","surround",1
"1276","surroundings",1
"1277","surroundingstayed",1
"1278","surrounds",1
"1280","sweet",1
"1281","swiming",1
"1282","swimmig",1
"1284","swing",1
"1285","switched",1
"1286","system",1
"1289","tables",1
"1290","tag",1
"1292","taken",1
"1293","taking",1
"1294","tank",1
"1295","tap",1
"1297","tasted",1
"1298","tasteful",1
"1301","technical",1
"1302","technically",1
"1303","technology",1
"1304","temperature",1
"1305","tends",1
"1306","terms",1
"1308","territorystayed",1
"1313","theh",1
"1321","thier",1
"1330","thouroughly",1
"1331","thr",1
"1335","tickets",1
"1336","tied",1
"1339","timestayed",1
"1340","tip",1
"1342","tlc",1
"1346","toiletries",1
"1347","toilets",1
"1351","toosaltish",1
"1352","toostayed",1
"1356","touching",1
"1360","toxic",1
"1361","traffic",1
"1364","transport",1
"1365","transportation",1
"1367","traveling",1
"1368","traveller",1
"1369","travellers",1
"1370","travels",1
"1371","tree",1
"1372","trees",1
"1373","tried",1
"1375","tropical",1
"1376","truly",1
