"","term3","Freq"
"2013","room",275
"1802","pool",228
"315","breakfast",171
"2250","staff",144
"1162","hotel",143
"1384","location",110
"217","beach",102
"630","december",100
"2358","swimming",91
"1048","great",84
"2277","stayed",78
"2017","rooms",76
"1579","nice",72
"1979","resort",71
"1619","november",69
"2088","september",69
"986","friendly",68
"1634","october",60
"2720","wifi",59
"2618","view",55
"166","august",54
"436","clean",48
"2181","small",48
"764","eco",47
"128","area",46
"233","bed",46
"1805","poolstayed",46
"958","food",45
"1771","place",45
"1658","only",43
"1285","july",41
"2670","water",41
"1651","old",39
"2691","well",39
"357","can",38
"126","april",36
"275","bit",36
"1289","just",36
"2124","shower",36
"2453","time",36
"210","bathroom",33
"1807","poor",33
"1924","reception",33
"2092","service",33
"1286","june",32
"1452","march",32
"2275","stay",32
"1566","need",29
"1278","january",28
"451","close",27
"909","february",27
"2085","sentosa",27
"1374","little",25
"1388","locationstayed",25
"229","beautiful",24
"809","environment",24
"1299","kids",24
"1409","love",24
"1464","may",24
"1570","needs",24
"223","beachstayed",23
"471","comfortable",23
"1119","helpful",23
"1585","night",23
"1833","price",23
"16","access",22
"183","back",22
"409","check",22
"679","dirty",22
"977","free",22
"112","ants",21
"186","bad",21
"203","basic",20
"1161","hot",20
"2063","sea",20
"2494","towels",20
"2671","waterfall",20
"2722","will",20
"266","big",19
"443","cleanliness",19
"622","day",19
"896","family",19
"1989","restaurant",19
"2030","run",19
"64","air",18
"882","facilities",18
"988","friendlystayed",18
"1411","lovely",18
"2010","roof",18
"2155","size",18
"2243","spring",18
"2605","variety",18
"760","easy",17
"844","excellent",17
"941","floor",17
"2140","siloso",17
"2468","toilet",17
"90","amazing",16
"910","feel",16
"1365","liked",16
"2241","spread",16
"2271","station",16
"821","especially",15
"1793","pm",15
"2493","towel",15
"2665","wasn",15
"468","come",14
"662","didn",14
"1703","paid",14
"1864","property",14
"2223","special",14
"2251","staffs",14
"88","am",13
"327","buffet",13
"860","expensive",13
"992","front",13
"1015","garden",13
"1043","goodstayed",13
"1433","maintained",13
"1437","maintenance",13
"1554","nature",13
"2071","see",13
"2647","walk",13
"2754","worth",13
"334","bus",12
"410","checked",12
"721","door",12
"870","extra",12
"899","fantastic",12
"1032","given",12
"1095","hard",12
"1353","level",12
"1410","loved",12
"1421","luggage",12
"1508","money",12
"1742","people",12
"1745","perfect",12
"1861","properly",12
"2019","roomstayed",12
"2130","shuttle",12
"2480","top",12
"146","asked",11
"206","bath",11
"255","best",11
"355","came",11
"394","change",11
"534","convenient",11
"861","experience",11
"1070","gym",11
"1393","long",11
"1404","loud",11
"1428","made",11
"1646","ok",11
"2003","right",11
"2147","singapore",11
"2698","wet",11
"2713","whole",11
"212","bathtub",10
"638","definitely",10
"973","found",10
"1128","here",10
"1367","limited",10
"1399","looks",10
"1553","natural",10
"1600","noisy",10
"1880","quality",10
"1888","quiet",10
"2011","rooftop",10
"2366","table",10
"2401","th",10
"2454","times",10
"2488","tour",10
"2742","work",10
"175","awesome",9
"294","booked",9
"295","booking",9
"316","breakfaststayed",9
"351","call",9
"464","cold",9
"587","croissants",9
"918","fi",9
"1050","green",9
"1051","greenery",9
"1255","island",9
"1331","last",9
"1519","morning",9
"1969","request",9
"1970","requested",9
"2027","rude",9
"2036","rusty",9
"2184","smell",9
"2515","trees",9
"2601","value",9
"2649","walking",9
"2676","way",9
"2693","went",9
"2716","wi",9
"347","cafe",8
"352","called",8
"585","croissant",8
"623","days",8
"718","don",8
"755","early",8
"794","enjoyed",8
"924","find",8
"1065","guests",8
"1083","hand",8
"1109","hear",8
"1131","high",8
"1205","improve",8
"1332","late",8
"1383","located",8
"1397","looked",8
"1398","looking",8
"1576","new",8
"1583","nicestayed",8
"1661","open",8
"1828","pretty",8
"1953","renovation",8
"1983","resortstayed",8
"2289","still",8
"2334","super",8
"2346","surrounding",8
"2371","take",8
"2459","tired",8
"2502","tram",8
"2537","tv",8
"2725","windows",8
"33","activities",7
"65","aircon",7
"130","areas",7
"163","attractions",7
"235","beds",7
"249","being",7
"442","cleaning",7
"502","concept",7
"608","customer",7
"884","facility",7
"898","fan",7
"901","far",7
"1092","happy",7
"1164","hotelstayed",7
"1244","internet",7
"1273","jacuzzi",7
"1291","keep",7
"1315","lack",7
"1360","light",7
"1442","makes",7
"1540","music",7
"1560","nearby",7
"2096","set",7
"2255","stained",7
"2260","standard",7
"2397","terrible",7
"2429","think",7
"2476","took",7
"2478","toostayed",7
"2550","uncomfortable",7
"2610","ve",7
"2712","who",7
"2736","won",7
"2737","wonderful",7
"2744","working",7
"2749","worn",7
"94","ambience",6
"174","away",6
"286","blocked",6
"437","cleaned",6
"475","comfy",6
"512","conditioning",6
"523","consider",6
"553","couldn",6
"555","counter",6
"668","difficult",6
"705","distance",6
"743","due",6
"830","evening",6
"932","first",6
"999","full",6
"1031","give",6
"1049","greatstayed",6
"1064","guest",6
"1077","half",6
"1122","helpfulstayed",6
"1347","left",6
"1358","lift",6
"1381","local",6
"1462","mattress",6
"1602","non",6
"1666","options",6
"1714","part",6
"1878","put",6
"1928","recommend",6
"1971","requests",6
"2058","scenery",6
"2077","selection",6
"2095","servicestayed",6
"2131","side",6
"2209","son",6
"2279","staying",6
"2393","temperature",6
"2472","told",6
"2558","unfriendly",6
"2627","visit",6
"2644","waiting",6
"2761","years",6
"18","accessible",5
"96","amenities",5
"154","atmosphere",5
"160","attitude",5
"169","average",5
"296","bookingcom",5
"309","boy",5
"412","checking",5
"424","chlorine",5
"467","comb",5
"478","coming",5
"619","dated",5
"631","decent",5
"644","deluxe",5
"664","didnt",5
"676","dinner",5
"747","dust",5
"761","eat",5
"793","enjoy",5
"812","environmentstayed",5
"1002","fun",5
"1007","furniture",5
"1132","higher",5
"1155","horrible",5
"1173","housekeeping",5
"1211","included",5
"1256","islandstayed",5
"1294","kept",5
"1296","key",5
"1323","landscape",5
"1328","large",5
"1342","leaking",5
"1345","leave",5
"1527","mould",5
"1556","naturestayed",5
"1567","needed",5
"1580","nicely",5
"1591","nil",5
"1640","offered",5
"1655","once",5
"1680","outdated",5
"1788","pleasant",5
"1882","queen",5
"2000","rice",5
"2018","roomsstayed",5
"2094","services",5
"2172","slides",5
"2175","slightly",5
"2201","soft",5
"2221","spacious",5
"2335","superb",5
"2347","surroundings",5
"2356","swim",5
"2362","switch",5
"2498","train",5
"2576","upgrade",5
"2604","varieties",5
"2622","viewstayed",5
"2656","want",5
"2748","world",5
"3","able",4
"42","additional",4
"80","alot",4
"101","animals",4
"145","ask",4
"167","availability",4
"251","bell",4
"268","bigger",4
"363","card",4
"398","charge",4
"427","choices",4
"438","cleaner",4
"447","cleanstayed",4
"449","clearly",4
"469","comes",4
"508","condition",4
"510","conditioner",4
"551","cot",4
