"","nationality","tags","score","content","content_detail"
"1","United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.4","¡°Plaza airport¡±","<U+B209>Room not cleaned and dirty sheets<U+B207>Location and friendly staffStayed in January 2018"
"2","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Breaking up a long flight¡±","<U+B209>Felt that breakfast should have been included for the price<U+B207>Easy to get to from airport after long flightStayed in January 2018"
"3","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Pleasant stay which I wished was longer.¡±","<U+B209>Nothing. Keep up the good work!<U+B207>Everything! I got a room upgrade too.Stayed in January 2018"
"4","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°Comfortable stay¡±","<U+B209>Located within changi airport<U+B207>Runway viewStayed in January 2018"
"5","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Over all everything was fab. Was great for the children to have a swim and relax after long flights¡±","<U+B207>Stayed at this hotel twice once for only 6 hrs as a stop over at the airport and once for 12 hrs for a stop over. Maybe it would be a good idea for the hotel to do cheaper rooms for small stays . We paid the full $275 for just being in the room for 5 hoursStayed in January 2018"
"6","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Really wonderful rooms.¡±","<U+B209>Hard to get to the lobby.  Uber not allowed to pick up from lobby<U+B207>The bed was so comfortable, room squeaky clean and quiet.  Curtains were dark.Stayed in January 2018"
"7","Australia","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Convenient!¡±","<U+B209>It was pretty slow checking in and checking out.<U+B207>The location.Stayed in December 2017"
"8","Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Fantastic and memorable stay.¡±","<U+B207>Comfy bed. Spacious bathroom.Stayed in January 2018"
"9","Canada","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Easy access from airport. Great overnight hotel from airport.¡±","<U+B209>Staff should tell guests of all the features of the property available, like the pool, restaurants, spa etcStayed in January 2018"
"10","USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Love this place¡±","<U+B209>The price is quite high<U+B207>Such a great layover stayStayed in January 2018"
