"","nationality","tags","score","content","content_detail"
"1","Bulgaria","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights","7.1","¡°Good location.¡±","<U+B209>Small rooms.<U+B207>Good location.Stayed in January 2018"
"2","Kenya","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights","4.6","¡°Great Location but not ideal for a Family stay.  Rooms too small...Staff not friendly¡±","<U+B209>Was extremely disappointed with the attitude from the staff especially at reception and dining.  It seems that every guest is considered to be dishonest and a thief.  Before even providing a service its about whether or not you have paid a deposit or settled your bill.  Its all about the money.  Felt extremely uncomfortable as a guest in the hotel.  The staff need to be a little more friendly and smile.......it costs nothing....but the lasting impression may be priceless<U+B207>The location is pretty great.  The family room was a  little too small and was difficult to move around...especially if you have luggage.  The Housekeeping service was excellent.  Breakfast was average...however not even a smile from the staff...most of them look like they are not happy working there.Stayed in January 2018"
"3","Singapore","<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights","7.9","¡°-Great location.¡±","<U+B209>-Breakfast spread and quality can be improved on.-Lift lobby is rather small and can get congested at times.<U+B207>-Great location. Just outskirts of the city and major tourist attractions.-Cosy room with a comfy bed and decent shower.-Rooftop pool and view of the city landscape is amazingStayed in December 2017"
"4","China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.2","¡°A pleasant stay in the Destination. The room is clean and with all facilities, only a bit small.¡±","<U+B207>The location is very convenient, with short driving distance to the attractions.Stayed in January 2018"
"5","Austria","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights","8.8","¡°good clean hotel in a good location for doing the sightseeing.¡±","<U+B209>The Breakfast could really be imrpoved. I eat everything, but it was hard to find something.No scrambled eggs, no m<U+00C3><U+00BC>sli.<U+B207>The location was quite good, close to MRT. Opposite the hotel is a nice food court, and some nice restaurants around. The Wifi is very good. Staff is friendly and competent.Stayed in December 2017"
"6","United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Location was great¡±","<U+B209>No bell boy service you have to carry your lagguage yourselfAmunities was not as expected<U+B207>Location was greatStayed in January 2018"
"7","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.2","¡°Extra bed in the room wasna<U+0080><U+0099>t very comfortable.¡±","<U+B209>Extra bed in the room wasna<U+0080><U+0099>t very comfortable.Stayed in January 2018"
"8","Czech Republic","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Location¡±","<U+B207>LocationSwim poolQuietStayed in January 2018"
"9","New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.3","¡°The rooms are not big enough for 4 people, 2  would be...¡±","<U+B209>Great pool.<U+B207>The rooms are not big enough for 4 people, 2  would be comfortable but I was traveling with my 3 children. It was a squeeze!Stayed in December 2017"
"10","New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","8.8","¡°Modern, clean and reasonable location.¡±","<U+B209>Limited options on lunch and dinner menu<U+B207>Modern, clean and reasonable location. Helpful staff but no concierge/ bellboyStayed in January 2018"
"11","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 5 nights","10","¡°This hotel is at strategic location.¡±","<U+B207>This hotel is at strategic location. Neighboring area offers many option for food and shopping. Key attractions are at convenient distance from hotel.Stayed in January 2018"
"12","South Africa","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Triple Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile","9.2","¡°Perfect triple room¡±","<U+B209>Nothing <U+B207>Excellent and clean. 5 min walking distance to MRT Nicol highway station as well as a great food hawker center opposite it! Stayed in January 2018"
"13","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.6","¡°Good hotel but small rooms ¡±","<U+B209>Small rooms , expensive breakfast .<U+B207>Nice location , clean rooms , early checkin Stayed in December 2017"
"14","Thailand","<U+2022> Group<U+2022> Triple Room<U+2022> Stayed 2 nights","7.1","¡°Good location and good value for money¡±","<U+B209>the rooms are very very small. We booked a room for 3 people which meant one of us slept on a sofabed. Could not really more around after that was setup<U+B207>Very good location as its close to Arab corner. Amazing shops and restaurants down there. The hotel lobby and restaurant are very cozy and looks very good.Stayed in December 2017"
"15","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 6 nights","8.3","¡°Pleasant but a bit lacking in help with outside activities¡±","<U+B209>The lack of information on what you could do in Singapore.  There was no one at the hotel to tell you anything about Singapore as a place.  They did not offer to call taxis etc, you had to request them to do it.<U+B207>The rooms were big enough and everything seemed okStayed in January 2018"
