"","nationality","tags","score","content","content_detail"
"1","USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 8 nights<U+2022> Submitted via mobile","8.3","¡°Great variety of breakfast foods.¡±","<U+B209>Rooms were on the smaller side but clean and comfortable.<U+B207>Great variety of breakfast foods. Within a 5min walk to Rocher, Bencoolen and Bugis MRT.Stayed in January 2018"
"2","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Excellent stay for our first time in Singapore¡±","<U+B209>Not much to complain about. Dining area could be bigger<U+B207>Staff were excellent! Friendly and always willing to assist. Bed was super comfy and the room was very cleanStayed in January 2018"
"3","Indonesia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night","9.2","¡°Okay and comfy!¡±","<U+B209>the room is too small (for some)<U+B207>the location.Stayed in January 2018"
"4","Maldives","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 2 nights","7.1","¡°A very homely clean comfortable hotel to stay.¡±","<U+B209>Disable toilet shower seat as it was a bit uncomfortable to take a shower/wash properly. Hope a more ideal way will be arranged for people with disabilities.<U+B207>cleanliness of the hotel and the staff hospitality and friendliness was excellent. Location was ideal too  for shopping, food and entertainment and transport.Stayed in January 2018"
"5","Hong Kong","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 6 nights","7.5","¡°easy and convenient¡±","<U+B209>BreakfastStayed in January 2018"
"6","USA","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights","7.1","¡°Stay is/was good - I would always chose to stay at IBIS, Bencoolen.  But, room tariff is very HIGH.¡±","<U+B209>Room Tariff  !!!<U+B207>Everything is good.  Staff & Hotel People nice and good.But, Hotel room/tariff is expensive - just like 5 stars HotelsStayed in December 2017"
"7","Germany","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°Friendly staff.¡±","<U+B209>Small rooms<U+B207>Friendly staff. Excellent location near to little indiaStayed in January 2018"
"8","Thailand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 6 nights<U+2022> Submitted via mobile","10","¡°Everything¡±","<U+B207>EverythingStayed in December 2017"
"9","USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Outstanding breakfast buffet.¡±","<U+B207>Outstanding breakfast buffet. Fabulous latte maker.Stayed in January 2018"
"10","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","10","¡°Best location, excellent customer service and comfortable room.¡±","<U+B207>The location was excellent, centrally located. Lots of restaurant around, very close to CBD. Near a nice temple with bustling activities. Superb view from my room.Stayed in December 2017"
"11","Myanmar","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","8.3","¡°First day when we were arrive at 11:00 pm on 30 th December they give to us seperate bed , honeymoon¡±","<U+B209>First day when we were arrive at 11:00 pm on 30 th December they give to us seperate bed , honeymoon with seperate bed :( Second day they changed for us . Bed size are very small . Room is tight may be coz of Singapore :) The rest all Ok .<U+B207>The location is very good . The bed sheet are so clean . Housekeeping service is fast and completed planned for travelers .Stayed in January 2018"
"12","Malaysia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Good location¡±","<U+B209>Room is too small and the bed too small for 2 persons<U+B207>Friendly receptionist and helpful housekeepersStayed in January 2018"
"13","United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 13 nights<U+2022> Submitted via mobile","10","¡°A great hotel for the price.¡±","<U+B209>Computers in lobby not accessible for wheelchair users.<U+B207>Excellent facilities for disabled travellers. Wonderful staff.  Terrific location.  Great valueStayed in December 2017"
"14","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Very nice experience¡±","<U+B209>Nothing not to like<U+B207>Great place to stay, bed very comfortable, room very nice, staff very helpfulStayed in December 2017"
"15","Malaysia","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night","8.8","¡°Pretty happy with the stay, espcially the car park.¡±","<U+B207>The car park location was excellent. I parked at the 3rd floor and took the lift to our room on the 7th - there was no need to change lifts.Stayed in December 2017"
"16","Cyprus","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights","9.2","¡°The staff was very helpful, and a good mixed choice for...¡±","<U+B209>The room was small for two travelling people<U+B207>The staff was very helpful, and a good mixed choice for breakfastStayed in January 2018"
