"","nationality","tags","score","content","content_detail"
"1","South Africa","<U+2022> Leisure trip<U+2022> Couple<U+2022> The Grand Club King Room<U+2022> Stayed 2 nights","9.2","¡°So, amazing in many ways but did not receive a personal treatment, however club lounge was good¡±","<U+B198>I was really surprised there was no turn down service, which is normally standard in 5-star hotels.Did not feel pampered at MBS at all, I would say that the service did not compare to the Marina Mandarin Singapore, where we stayed the rest of the time and where you actually feel welcome and are treated the way youa<U+0080><U+0099>re used to from the other top quality hotels in Asia.<U+B200>Yes, of course, the best of this hotel is the infinity skypool at level 57th and the Jacuzzi. The views were amazing - quite unique. The room itself was very luxurious, we would have preferred a higher floor but was not available. The club lounge was lovely, great staff, they somehow remember your name on every visit...that was the only personal touch you feel at MBS which we liked a lot.Stayed in December 2017"
"2","Canada","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Deluxe King Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Great hotel.¡±","<U+B200>Great hotel. Very comfortable. Underground mall has something for everyone. Public transit in the underground mall. Casino. Great food Court. Roof facilities and views of city and water are awesome. Infinity pool on roof is very impressive. All in all a first class hotel.Stayed in December 2017"
"3","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Harbor View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Beautiful hotel with stunning views !¡±","<U+B198>Very expensive , food and drinks are very expensive:<U+B200>Beautiful hotel with stunning views !! Must stay when in Singapore. Infinity pool is amazing!Stayed in December 2017"
"4","Qatar","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Sky View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Nice but missing quite a few small details youa<U+0080><U+0099>d expect with a five star.¡±","<U+B198>Overpriced in general<U+B200>Amazing view as expected and paid forStayed in January 2018"
"5","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Harbor View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Would recommend to anyone.¡±","<U+B198>Nothing<U+B200>What a fantastic hotel,everything was perfect,probably the best hotel I have stayed in.Stayed in January 2018"
"6","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Suite<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°We stay at the orchid suite and it was superb.¡±","<U+B200>We stay at the orchid suite and it was superb. Love ittttStayed in January 2018"
"7","Italy","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Very nice hotel in great position to see the gardens.¡±","<U+B198>Nothing..<U+B200>Very nice hotel in great position to see the gardens.skyline is amazing.plenty of shops and restaurants.Stayed in January 2018"
"8","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Suite (3 Persons)<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.8","¡°Lovely hotel but not very personal due to the size. Check in was very complicated¡±","<U+B198>Club facilities are inadequate for the amount of people. You had to wait for up to 30 mins for s table even though youa<U+0080><U+0099>ve paid for a suite or club room.Stayed in January 2018"
"9","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°fabulous¡±","<U+B198>nothing<U+B200>infinity pool..food..staffStayed in January 2018"
"10","Czech Republic","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Room<U+2022> Stayed 1 night","7.5","¡°For 4 person family room, 3 beds were not ideall.¡±","<U+B198>For 4 person family room, 3 beds were not ideall. Otherwise, non-sense surcharges for everything. Hotel just probably lives from people wanting to take selfie at infinity pool. Won't be coming againStayed in December 2017"
"11","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin City View Room (3 Persons)<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°Good, infinity pool a sight, But expensive¡±","<U+B198>The reception area is like a train station<U+B200>It is an icon and lives up to expectationStayed in January 2018"
"12","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King City View Room (3 Persons)<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Extravagant but worthwhile way to spend the last night of our holiday¡±","<U+B198>Check in time was busy so more seating in foyer for weary family members to sit and wait<U+B200>The buffet at Risk was amazingly extensive and generous. Fresh shellfish, local Singaporean food, so many choices of cultural food and tempting d sweet bar.Poolside food and cocktail service was excellentStayed in January 2018"
"13","Romania","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Twin Garden View Room (3 Persons) <U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.5","¡°The best¡±","<U+B198>Nothing<U+B200>The poolStayed in January 2018"
"14","","<U+2022> Leisure trip<U+2022> Couple<U+2022> The Club Room King City View<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°The pool and the service were very nice¡±","<U+B198>To crowded, you had to wait in order to have breakfast.<U+B200>The pool and the service were very niceStayed in January 2018"
"15","Japan","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Sky View<U+2022> Stayed 1 night","7.5","¡°We are four families.¡±","<U+B200>We are four families. and the room is spacious. and Sofa bed was sufficiently enough to provide a function of a bed for kids.Stayed in January 2018"
"16","Brazil","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Perfect¡±","<U+B200>Everything perfectStayed in December 2017"
"17","Mauritius","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King City View Room <U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°The pool was very nice and the shopping mall was closed¡±","<U+B200>The pool was very nice and the shopping mall was closedStayed in December 2017"
"18","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Deluxe King Harbor View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.8","¡°Very nice and very busy¡±","<U+B198>Super overcrowded everywhere<U+B200>Very nice hotel, great facilitiesStayed in January 2018"
"19","Estonia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Twin Room (3 Persons)<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.8","¡°Arcitecture of hotel and design.¡±","<U+B198>Overcrowded recreation areas, overvalued restaurants and service, very kid-unfriendly.<U+B200>Arcitecture of hotel and design. Big rooms and good views.Stayed in January 2018"
"20","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin Room (3 Persons)<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Comfy Hotel¡±","<U+B198>The price<U+B200>The LocationStayed in January 2018"
"21","Russia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Harbor View Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","6.7","¡°Statement hotel however extremely overcrowded¡±","<U+B198>Extremely crowded hotel, too many people everywhere: 20minutes queue for breakfast, pool overcrowded.<U+B200>All brand new, room with an excellent view over Marina GardensStayed in January 2018"
"22","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Twin City View Room <U+2022> Stayed 4 nights","10","¡°Best hotel in Singapore !¡±","<U+B198>Long Q for check in ! expensive breakfast !<U+B200>Helpful staff in the reception, big family room with nice views, top floor swimming pool is awesome!Stayed in December 2017"
"23","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Generally good¡±","<U+B198>A lot of bugs in the ceiling of shower room. Fridge system is annoying<U+B200>Facility was automated and it helped us feel comfortsStayed in January 2018"
