"","nationality","tags","score","content","content_detail"
"1","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night","9.6","¡°Good stay. Staff was great!¡±","<U+B198>- The bathroom as a little dated.<U+B200>- Staff were brilliant, especially the Indian man at the concierge desk. He was so very helpful. - The bathroom had a great selection of toiletries- We were given an upgrade! Thank you for that!Stayed in December 2017"
"2","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°It was a good staycation experience!¡±","<U+B198>The noise because of the on going renovations.<U+B200>Friendly staff and the pool was really nice.Stayed in January 2018"
"3","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°excellent¡±","<U+B198>none<U+B200>the room is big n comfy. the bathroom also big.Stayed in January 2018"
"4","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.6","¡°Great bed, great breakfast, and nice room.¡±","<U+B198>The air con thermostate in the room may be faulty. The room gets warm after a few hours, prompting a need to switch off, and switch on the air con after 3-4 hours.<U+B200>Great bed, great breakfast, and nice room.Stayed in January 2018"
"5","Hong Kong","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Enjoyed a short break in Sg¡±","<U+B198>Nil<U+B200>- Staff are helpful and polite- Location is convenient- The room is clean and spaciousStayed in January 2018"
"6","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","5.8","¡°Would strongly advise not to use this hotel if you have young children.¡±","<U+B198>Advertised as a family hotel but young children are not permitted to use club facilities thus rendering facilities useless to the adults too. Tried to discuss with staff and were advised that everyone else followed the rules so we should too. Thanks.<U+B200>Room was clean.Stayed in January 2018"
"7","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°Shower + bath was not practicle ¡±","<U+B198>Shower + bath was not practicle Water goes on floor because of shower curtainStayed in January 2018"
"8","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 6 nights","9.2","¡°Good location great pool Good local bus and MRT connections.¡±","<U+B200>Good location great pool Good local bus and MRT connections. Good breakfast comfortable bedStayed in January 2018"
"9","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Met all expectations and requests¡±","<U+B200>Bluetooth speaker Great parking Great bedStayed in January 2018"
"10","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile","10","¡°Great access to transport ,comfortable large room ,very quiet and peaceful¡±","<U+B198>Cannot think of anything<U+B200>we stayed on the orchid floor ,free laundry and a free mobile phone to use during your stay ,breakfast was superb and had access to a floor only dining area for breakfast . Also free drinks and nibbles @6-7 pm each nightStayed in January 2018"
