"","nationality","tags","score","content","content_detail"
"1","","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights","5.8","¡°is convenient to go out to the beach as well as eateries...¡±","<U+B209>the mattress was abit soft and nt comfortable<U+B207>is convenient to go out to the beach as well as eateries around the resort.Stayed in December 2017"
"2","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.4","¡°It was an average hotel.¡±","<U+B209>The bathroom is tiny, floor is dusty, there are ants everywhere.<U+B207>The hotel is eco friendly which is lovely!Stayed in January 2018"
"3","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°shuttle service to mainland and great for family vacation.¡±","<U+B209>nil<U+B207>shuttle service to mainland and great for family vacation.Stayed in January 2018"
"4","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Very comfortable and clean, I love the scenery and the...¡±","<U+B209>Too expensive and need promo for long stay <U+B207>Very comfortable and clean, I love the scenery and the surroundingStayed in January 2018"
"5","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.8","¡°We'll definitely come back!  ¡±","<U+B209>Our room air-con is noisy. <U+B207>Nice ambience and the swimming pool is awesome.Stayed in January 2018"
"6","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights","7.1","¡°Good Spot for Sentosa Beach¡±","<U+B209>Reception area design<U+B207>Very good bfst, pool, internet, bed and locationStayed in January 2018"
"7","Singapore","<U+2022> People with friends<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Like the room very much because there is a bathtub for me to...¡±","<U+B209>There are more red ants enter to my room<U+B207>Like the room very much because there is a bathtub for me to cool down. Love the room bec it is big! :)Stayed in January 2018"
"8","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.1","¡°Cheap and good for its price¡±","<U+B207>Cheap and good for its priceStayed in December 2017"
"9","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights","7.9","¡°excellent location good for stope over stay¡±","<U+B209>not good for myself as I have wheelchair.<U+B207>contacted hotel few times prior received no repliesStayed in December 2017"
"10","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.0","¡°Access to the beach¡±","<U+B209>Bathroom sink with stain, rusty lamps, small tv, very dirty curtain, feels room is so old and needed touch up<U+B207>Access to the beachStayed in January 2018"
"11","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°The pool is big with a slide and waterfall which is fun for...¡±","<U+B207>The pool is big with a slide and waterfall which is fun for the children.Stayed in December 2017"
"12","Saudi Arabia","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.3","¡°Great location good breakfast & close to beach and all major Sentosa attractions.Lovely plants& pool¡±","<U+B207>Convenient & close to all major Sentosa Island attractions & activities. Easy walk to bus & train links too.Stayed in December 2017"
"13","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Roof Garden Suite Queen<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","6.3","¡°Below expectations, could have enjoy more in hotel.¡±","<U+B209>Sink is choke.The bed is too small for us. 2 adults and 1 child should have a king size bed. Room not clean, quite dusty.No complimentary snacks given, only 4 can drinks given for 2 days stay which Ia<U+0080><U+0099>ve paid for 1.3k?The 2 suntan chairs on the roof are very dirty.Not able to stop the bathtub hydrotherapy bubbles after starting it. The loud banging of rooftop doors can be heard, especially when we are sleeping.<U+B207>Like the bathtub with hydrotherapy bubbles. The view of the sea from our unit.Stayed in December 2017"
"14","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°The bed makes a lot of sounds.¡±","<U+B209>The bed makes a lot of sounds.Stayed in December 2017"
"15","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.4","¡°Over all... Overpriced unwelcoming resort¡±","<U+B209>The entrance to the hotel wasn't welcoming. Stunk of pee... Definitely not worth the price I paid for it.<U+B207>The room was alright and breakfast was goodStayed in December 2017"
"16","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Roof Garden Suite Queen<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","5.4","¡°The pool is beautiful, our room was really nice with a nice...¡±","<U+B209>only one towel in the bathroom, wine bottles on the floor in the hallway, only one fork when we ordered room service, the beach towels were frayed and threadbare, they always forget to drain the jacuzzi, the faucet handle fell off in the outdoor shower. There were some problems communicating with the staff about room amenities and one morning at breakfast we overheard some member of the kitchen staff loudly yelling at one of the waiters in a very cruel and demeaning way. We found a used condom under the bed from a previous occupant. <U+B207>The pool is beautiful, our room was really nice with a nice view and a hydrotherapy bath on the roof. They provided a baby cot at no extra charge. The staff were friendly and nice. The breakfast was decent and I especially liked the waffles.Stayed in December 2017"
"17","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Roof Garden Suite Queen<U+2022> Stayed 1 night<U+2022> Submitted via mobile","4.6","¡°The property is old and ill maintained.¡±","<U+B209>The property is old and ill maintained.Stayed in December 2017"
"18","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.3","¡°The pool was amazing for kids!¡±","<U+B207>The pool was amazing for kids!Stayed in December 2017"
"19","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights","7.5","¡°NIL.¡±","<U+B209>Room floor is dusty.On last day, the floor is sticky.<U+B207>The payment process is good. Staffs are friendly.Stayed in December 2017"
"20","Singapore","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 8 nights<U+2022> Submitted via mobile","8.8","¡°Very memorable. Had a wonderful time. Repeat client.¡±","<U+B209>Breakfast spread could use some improvement<U+B207>Location. Accessibility. Pool. Staff. Service. All goodStayed in December 2017"
"21","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Though the resort is not new, the place is nice as it blends...¡±","<U+B207>Though the resort is not new, the place is nice as it blends with the nature. Love the pools.  The rooms are clean. The staff is good as before going there, I've several changes on my booking and the staff, Judy, was patient and responded to my requests promptly. Breakfast is not fantastic but good enough to fill your tummy! My family had a great time there! Will go again next time. Stayed in December 2017"
"22","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Adjoining Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Though the resort is not new, the place is nice as it blends...¡±","<U+B207>Though the resort is not new, the place is nice as it blends with the nature. Love the pools.  The rooms are clean. The staff is good as before going there, I've several changes on my booking and the staff, Judy, was patient and responded to my requests promptly. Breakfast is not fantastic but good enough to fill your tummy! My family had a great time there! Will go again next time. Stayed in December 2017"
"23","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night","7.5","¡°Very Pleasant¡±","<U+B207>SeneryStayed in December 2017"
"24","Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","3.3","¡°Not cheap and health hazard¡±","<U+B209>There are mould everywhere . The windows were dirty. The bathroom sink silicon were black, the exhaust fan in the bathroom not working and very dusty. The bathroom shower gel pump is mouldy. The bathroom silicon seal and showerhead were mouldy. The hair dryer was dusty so it only works for a few minutes before it overheats and shut down. The fridge was empty and part of  the fridge door was rusty .Although there is a beach shuttle service to the monorail but it was very packed and we ended up walking to the station every time.<U+B207>Chilled water station at the lobbyStayed in December 2017"
"25","Malaysia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights","6.7","¡°Overall it was fine.¡±","<U+B209>facilities were old.  Gym was lousy.<U+B207>location was near beachStayed in December 2017"
"26","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.0","¡°Continental bfast¡±","<U+B207>Continental bfastStayed in December 2017"
"27","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","4.2","¡°Won't consider my stay again.¡±","<U+B209>Food,comfort level and view<U+B207>Staff are friendly.Stayed in December 2017"
"28","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°near tonthe beach¡±","<U+B209>bathroom. no bidet spray<U+B207>near tonthe beachStayed in December 2017"
"29","Bulgaria","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Short and sweet¡±","<U+B209>Noisy<U+B207>Swimming poolStayed in December 2017"
"30","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 3 nights","10","¡°Great Stay- Enjoyed it very much.¡±","<U+B207>Pool facilities were great; B'fast had a good spread; friendly and helpful staff.  Prompt maintenance support when calledStayed in December 2017"
"31","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","4.6","¡°- the room was filled with furnitures that were extremely...¡±","<U+B209>- the room was filled with furnitures that were extremely rusty, dirty, dusty i.e. table lamps, lights, switch. considering how sentosa is a tourist attraction and how i paid $338 for a room like this which is not clean and filled with furnitures that were so outdated and clearly not taken care of, it was as if i was staying at a rundown hotel. - i basically paid $338 for a hotel room which is far worse than a hotel I could get at $200. in addition, the amentities such as the pool etc was great but anyone could access it (hence i really only paid for the room)- the room also did not have the usual things like a sheet of paper to show what is the number for reception, room service, etc- it was overall just very disappointing. especially since i was looking forward to this mini staycation over christmas, and had high expectations (as anyone would) for siloso beach resort.Stayed in December 2017"
"32","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°Affordable beach view¡±","<U+B209>I would have loved an outdoor hot tub!<U+B207>I like the great outdoor pool and natural setting with lots of information on local ecology. We had a great view of the ocean and the location is convenient.Stayed in December 2017"
"33","Singapore","<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night","5.4","¡°the dinner sucks¡±","<U+B209>nothing<U+B207>the dinner sucksStayed in December 2017"
"34","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","5.8","¡°Although the stay is moderate, but the incident that staff leave the door open is very disturbing ¡±","<U+B209>The staff leave the door open after cleaning <U+B207>Convenient Stayed in December 2017"
"35","Singapore","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","8.8","¡°Eco friendly & great location¡±","<U+B209>The room slughtly small & need some upgrading, found ants daily on table<U+B207>Eco friendly & great locationStayed in December 2017"
"36","Austria","<U+2022> Leisure trip<U+2022> People with friends<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","2.5","¡°Nothing ¡±","<U+B209>As we are here for holiday we always expect a decent quality as we are used from booking.com. This hotel is rated as a 4 Star Hotel but is definitely more like a super shabby 1,5 Star (will attach the fotos). The Staff was very unprofessional and even negatively cheeky because they seem to know how bad everything is. The Room 325 was super dirty and felt from the 80s and most parts in the whole room and in the hotel in general like shower curtains, room curtains and fridge had fungus and most parts were super rusty in general. The toilet was leaking and smelling Urin. The problem is that no one really shouldna<U+0080><U+0099>t be bothering at all about those health issuing things in a hotel no matter the category on Booking.com as we always were satisfied in the past with our bookings. We definitely would like to ask for a full refund of the 3 nights as the hotel staff was almost laughing about this request which we discussed with them as well. As it was a non refundable stay we were unfortunately tied up to this real nightmare.<U+B207>Nothing Stayed in December 2017"
"37","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.0","¡°Swimming¡±","<U+B209>Servers<U+B207>SwimmingStayed in December 2017"
"38","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","2.5","¡°not recommended for all ¡±","<U+B209>poor service standard. run down facilities and rooms.  breakfast limited choices.<U+B207>nothingStayed in December 2017"
"39","Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","5.0","¡°Would not come back¡±","<U+B209>Scary<U+B207>Breakfast not niceStayed in December 2017"
