"","X","nationality","tags","score","content","content_detail"
"1",1,"United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",5.4,"¡°Plaza airport¡±","Room not cleaned and dirty sheets Location and friendly staffStayed in January "
"2",2,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Breaking up a long flight¡±","Felt that breakfast should have been included for the price Easy to get to from airport after long flightStayed in January "
"3",3,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Pleasant stay which I wished was longer.¡±","Nothing Keep up the good work! Everything! I got a room upgrade tooStayed in January "
"4",4,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.1,"¡°Comfortable stay¡±","Located within changi airport Runway viewStayed in January "
"5",5,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Over all everything was fab. Was great for the children to have a swim and relax after long flights¡±"," Stayed at this hotel twice once for only  hrs as a stop over at the airport and once for  hrs for a stop over Maybe it would be a good idea for the hotel to do cheaper rooms for small stays  We paid the full $ for just being in the room for  hoursStayed in January "
"6",6,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Really wonderful rooms.¡±","Hard to get to the lobby  Uber not allowed to pick up from lobby The bed was so comfortable, room squeaky clean and quiet  Curtains were darkStayed in January "
"7",7,"Australia","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Convenient!¡±","It was pretty slow checking in and checking out The locationStayed in December "
"8",8,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Premier Double Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.3,"¡°Fantastic and memorable stay.¡±"," Comfy bed Spacious bathroomStayed in January "
"9",9,"Canada","<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Easy access from airport. Great overnight hotel from airport.¡±","Staff should tell guests of all the features of the property available, like the pool, restaurants, spa etcStayed in January "
"10",10,"USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Love this place¡±","The price is quite high Such a great layover stayStayed in January "
"11",11,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Business King Room - Non-Smoking<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°It was relaxing and I'm definitely coming back again.¡±","NIL The room and the serviceStayed in January "
