"","X","nationality","tags","score","content","content_detail"
"1",1,"Bulgaria","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 2 nights",7.1,"¡°Good location.¡±","Small rooms Good locationStayed in January "
"2",2,"Kenya","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights",4.6,"¡°Great Location but not ideal for a Family stay.  Rooms too small...Staff not friendly¡±","Was extremely disappointed with the attitude from the staff especially at reception and dining  It seems that every guest is considered to be dishonest and a thief  Before even providing a service its about whether or not you have paid a deposit or settled your bill  Its all about the money  Felt extremely uncomfortable as a guest in the hotel  The staff need to be a little more friendly and smileit costs nothingbut the lasting impression may be priceless The location is pretty great  The family room was a  little too small and was difficult to move aroundespecially if you have luggage  The Housekeeping service was excellent  Breakfast was averagehowever not even a smile from the staffmost of them look like they are not happy working thereStayed in January "
"3",3,"Singapore","<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights",7.9,"¡°-Great location.¡±","-Breakfast spread and quality can be improved on-Lift lobby is rather small and can get congested at times -Great location Just outskirts of the city and major tourist attractions-Cosy room with a comfy bed and decent shower-Rooftop pool and view of the city landscape is amazingStayed in December "
"4",4,"China","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.2,"¡°A pleasant stay in the Destination. The room is clean and with all facilities, only a bit small.¡±"," The location is very convenient, with short driving distance to the attractionsStayed in January "
"5",5,"Austria","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights",8.8,"¡°good clean hotel in a good location for doing the sightseeing.¡±","The Breakfast could really be imrpoved I eat everything, but it was hard to find somethingNo scrambled eggs, no m The location was quite good, close to MRT Opposite the hotel is a nice food court, and some nice restaurants around The Wifi is very good Staff is friendly and competentStayed in December "
"6",6,"United Arab Emirates","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°Location was great¡±","No bell boy service you have to carry your lagguage yourselfAmunities was not as expected Location was greatStayed in January "
"7",7,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Triple Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.2,"¡°Extra bed in the room wasna<U+0080><U+0099>t very comfortable.¡±","t very comfortableStayed in January "
"8",8,"Czech Republic","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Queen Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°Location
¡±"," LocationSwim poolQuietStayed in January "
"9",9,"New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Family Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.3,"¡°The rooms are not big enough for 4 people, 2  would be...¡±","Great pool The rooms are not big enough for  people,   would be comfortable but I was traveling with my  children It was a squeeze!Stayed in December "
"10",10,"New Zealand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Connecting Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",8.8,"¡°Modern, clean and reasonable location.¡±","Limited options on lunch and dinner menu Modern, clean and reasonable location Helpful staff but no concierge/ bellboyStayed in January "
