"","X","nationality","tags","score","content","content_detail"
"1",1,"USA","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 8 nights<U+2022> Submitted via mobile",8.3,"¡°Great variety of breakfast foods.¡±","Rooms were on the smaller side but clean and comfortable Great variety of breakfast foods Within a min walk to Rocher, Bencoolen and Bugis MRTStayed in January "
"2",2,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Excellent stay for our first time in Singapore¡±","Not much to complain about Dining area could be bigger Staff were excellent! Friendly and always willing to assist Bed was super comfy and the room was very cleanStayed in January "
"3",3,"Indonesia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night",9.2,"¡°Okay and comfy!¡±","the room is too small (for some) the locationStayed in January "
"4",4,"Maldives","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 2 nights",7.1,"¡°A very homely clean comfortable hotel to stay.¡±","Disable toilet shower seat as it was a bit uncomfortable to take a shower/wash properly Hope a more ideal way will be arranged for people with disabilities cleanliness of the hotel and the staff hospitality and friendliness was excellent Location was ideal too  for shopping, food and entertainment and transportStayed in January "
"5",5,"Hong Kong","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 6 nights",7.5,"¡°easy and convenient¡±","BreakfastStayed in January "
"6",6,"USA","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights",7.1,"¡°Stay is/was good - I would always chose to stay at IBIS, Bencoolen.  But, room tariff is very HIGH.¡±","Room Tariff  !!! Everything is good  Staff & Hotel People nice and goodBut, Hotel room/tariff is expensive - just like  stars HotelsStayed in December "
"7",7,"Germany","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.3,"¡°Friendly staff.¡±","Small rooms Friendly staff Excellent location near to little indiaStayed in January "
"8",8,"Thailand","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 6 nights<U+2022> Submitted via mobile",10,"¡°Everything¡±"," EverythingStayed in December "
"9",9,"USA","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°Outstanding breakfast buffet.¡±"," Outstanding breakfast buffet Fabulous latte makerStayed in January "
"10",10,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights",10,"¡°Best location, excellent customer service and comfortable room.¡±"," The location was excellent, centrally located Lots of restaurant around, very close to CBD Near a nice temple with bustling activities Superb view from my roomStayed in December "
"11",11,"Myanmar","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",8.3,"¡°First day when we were arrive at 11:00 pm on 30 th December they give to us seperate bed , honeymoon¡±","First day when we were arrive at : pm on  th December they give to us seperate bed , honeymoon with seperate bed :( Second day they changed for us  Bed size are very small  Room is tight may be coz of Singapore :) The rest all Ok  The location is very good  The bed sheet are so clean  Housekeeping service is fast and completed planned for travelers Stayed in January "
"12",12,"Malaysia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°Good location¡±","Room is too small and the bed too small for  persons Friendly receptionist and helpful housekeepersStayed in January "
"13",13,"United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 13 nights<U+2022> Submitted via mobile",10,"¡°A great hotel for the price.¡±","Computers in lobby not accessible for wheelchair users Excellent facilities for disabled travellers Wonderful staff  Terrific location  Great valueStayed in December "
"14",14,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°Very nice experience¡±","Nothing not to like Great place to stay, bed very comfortable, room very nice, staff very helpfulStayed in December "
"15",15,"Malaysia","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night",8.8,"¡°Pretty happy with the stay, espcially the car park.¡±"," The car park location was excellent I parked at the rd floor and took the lift to our room on the th - there was no need to change liftsStayed in December "
"16",16,"Cyprus","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights",9.2,"¡°The staff was very helpful, and a good mixed choice for...¡±","The room was small for two travelling people The staff was very helpful, and a good mixed choice for breakfastStayed in January "
"17",17,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.1,"¡°Near bencoolen station MRT¡±"," I will go backStayed in January "
"18",18,"Canada","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> 2 rooms<U+2022> Stayed 1 night<U+2022> Submitted via mobile",6.7,"¡°Overall stay was pleasant even¡±","Service of front desk, lack of professionalism and efficiency I like the restaurantStayed in January "
"19",19,"Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",5,"¡°...¡±"," Stayed in December "
"20",20,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.1,"¡°Satisfactory¡±","Toilet and lighting LocationStayed in December "
"21",21,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile",5.8,"¡°Not a good choice for the price ¡±","Very small rooms  Every single item even the ear buds were given  on request In room Coffee and tea is of no use  CleanStayed in December "
"22",22,"Brunei Darussalam","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",5.8,"¡°It was okay¡±","Transportation not easily available as told NilStayed in January "
"23",23,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",9.6,"¡°Have stayed at this Hotel many times always enjoyed our stay.¡±","Nothing really Great location, close to rail and bus Breakfast was greatStayed in December "
"24",24,"Philippines","<U+2022> Family with young children<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 5 nights<U+2022> Submitted via mobile",7.5,"¡°Worth recommending.¡±"," Location Good housekeeping staffStayed in December "
"25",25,"Singapore","<U+2022> Leisure trip<U+2022> Group<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Very convenient location for shopping and food.¡±"," Very convenient location for shopping and foodStayed in December "
"26",26,"Thailand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.2,"¡°We would like to stay here again.¡±","The staff did not clean the toilet well But it was bearable The location is great It is near MRT There is also a huge food center within a walking distance There is also some space in the room we stayed inStayed in December "
"27",27,"Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.1,"¡°Was a pleasant stay at ibis¡±","Breakfast was not included in the room rate The bed was comfy,Pillows tooStayed in December "
"28",28,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",7.5,"¡°Good Value of the money we paid¡±"," The location is very close to local delicacies and local shopsStayed in December "
