"","X","nationality","tags","score","content","content_detail"
"1",1,"South Africa","<U+2022> Leisure trip<U+2022> Couple<U+2022> The Grand Club King Room<U+2022> Stayed 2 nights",9.2,"¡°So, amazing in many ways but did not receive a personal treatment, however club lounge was good¡±","I was really surprised there was no turn down service, which is normally standard in -star hotelsDid not feel pampered at MBS at all, I would say that the service did not compare to the Marina Mandarin Singapore, where we stayed the rest of the time and where you actually feel welcome and are treated the way youare used to from the other top quality hotels in Asia Yes, of course, the best of this hotel is the infinity skypool at level th and the Jacuzzi The views were amazing - quite unique The room itself was very luxurious, we would have preferred a higher floor but was not available The club lounge was lovely, great staff, they somehow remember your name on every visitthat was the only personal touch you feel at MBS which we liked a lotStayed in December "
"2",2,"Canada","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Deluxe King Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",9.6,"¡°Great hotel.¡±"," Great hotel Very comfortable Underground mall has something for everyone Public transit in the underground mall Casino Great food Court Roof facilities and views of city and water are awesome Infinity pool on roof is very impressive All in all a first class hotelStayed in December "
"3",3,"United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Harbor View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Beautiful hotel with stunning views !¡±","Very expensive , food and drinks are very expensive: Beautiful hotel with stunning views !! Must stay when in Singapore Infinity pool is amazing!Stayed in December "
"4",4,"Qatar","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Sky View<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Nice but missing quite a few small details youa<U+0080><U+0099>d expect with a five star.¡±","Overpriced in general Amazing view as expected and paid forStayed in January "
"5",5,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King Harbor View Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",10,"¡°Would recommend to anyone.¡±","Nothing What a fantastic hotel,everything was perfect,probably the best hotel I have stayed inStayed in January "
"6",6,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Suite<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°We stay at the orchid suite and it was superb.¡±"," We stay at the orchid suite and it was superb Love ittttStayed in January "
"7",7,"Italy","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe King City View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Very nice hotel in great position to see the gardens.¡±","Nothing Very nice hotel in great position to see the gardensskyline is amazingplenty of shops and restaurantsStayed in January "
"8",8,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Suite (3 Persons)<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.8,"¡°Lovely hotel but not very personal due to the size. Check in was very complicated¡±","Club facilities are inadequate for the amount of people You had to wait for up to  mins for s table even though youave paid for a suite or club roomStayed in January "
"9",9,"India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Premier King Garden View Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°fabulous¡±","nothing infinity poolfoodstaffStayed in January "
"10",10,"Czech Republic","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe King Room<U+2022> Stayed 1 night",7.5,"¡°For 4 person family room, 3 beds were not ideall.¡±","For  person family room,  beds were not ideall Otherwise, non-sense surcharges for everything Hotel just probably lives from people wanting to take selfie at infinity pool Won't be coming againStayed in December "
