"","X","nationality","tags","score","content","content_detail"
"1",1,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night",9.6,"¡°Good stay. Staff was great!¡±","- The bathroom as a little dated - Staff were brilliant, especially the Indian man at the concierge desk He was so very helpful - The bathroom had a great selection of toiletries- We were given an upgrade! Thank you for that!Stayed in December "
"2",2,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°It was a good staycation experience!¡±","The noise because of the on going renovations Friendly staff and the pool was really niceStayed in January "
"3",3,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°excellent¡±","none the room is big n comfy the bathroom also bigStayed in January "
"4",4,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.6,"¡°Great bed, great breakfast, and nice room.¡±","The air con thermostate in the room may be faulty The room gets warm after a few hours, prompting a need to switch off, and switch on the air con after - hours Great bed, great breakfast, and nice roomStayed in January "
"5",5,"Hong Kong","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°Enjoyed a short break in Sg¡±","Nil - Staff are helpful and polite- Location is convenient- The room is clean and spaciousStayed in January "
"6",6,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",5.8,"¡°Would strongly advise not to use this hotel if you have young children.¡±","Advertised as a family hotel but young children are not permitted to use club facilities thus rendering facilities useless to the adults too Tried to discuss with staff and were advised that everyone else followed the rules so we should too Thanks Room was cleanStayed in January "
"7",7,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°Shower + bath was not practicle 
¡±","Shower + bath was not practicle Water goes on floor because of shower curtainStayed in January "
"8",8,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 6 nights",9.2,"¡°Good location great pool Good local bus and MRT connections.¡±"," Good location great pool Good local bus and MRT connections Good breakfast comfortable bedStayed in January "
"9",9,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",9.2,"¡°Met all expectations and requests¡±"," Bluetooth speaker Great parking Great bedStayed in January "
"10",10,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile",10,"¡°Great access to transport ,comfortable large room ,very quiet and peaceful¡±","Cannot think of anything we stayed on the orchid floor ,free laundry and a free mobile phone to use during your stay ,breakfast was superb and had access to a floor only dining area for breakfast  Also free drinks and nibbles @- pm each nightStayed in January "
"11",11,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Deluxe Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",10,"¡°The staff, pool and room ¡±","Club lounge food wasn't that great  The staff, pool and room Stayed in January "
"12",12,"Hong Kong","<U+2022> Leisure trip<U+2022> Group<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 12 nights<U+2022> Submitted via mobile",10,"¡°Lovely stay and must come again¡±","Nothing Very nice roomGreat locationCourteous and friendly staffStayed in January "
"13",13,"Hong Kong","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 12 nights<U+2022> Submitted via mobile",10,"¡°Always a delight staying in one of the Premier Club rooms on 7/F¡±","Nothing Loved the pool and gymConvenient free parking Friendly, courteous and helpful ConciergeStayed in January "
"14",14,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.3,"¡°15% excluded costs and twin not guaranteed ¡±","There are % of excluded charges on the rooms and we feel bookingcom does not make this clear enough before final booking confirmation Also we booked a room that you could choose as being twin or double but apparently the choice you make is of no consequence as it depends what is available at check-in This caused a huge problem for us as we were travelling with elderly parents who required a twin room (hence selected) but were told on check-in that this wasn't possible The staff member was not very helpful or sympathetic but finally agreed to put an extra bed in the room making it very squashed My mother in law was not happy so made a fuss until they finally found her a twin room Why accept a booking you can't fulfil?? Wasn't impressed how this was handled The rooms were fairly spacious and the beds very comfy Within  mins walk of  metro stations Lovely pool and gym with steam room Though pool very cold Great food in the restaurant but watch out for the excluded costs and being charged  $ for tea you didn't ask for!!Stayed in January "
"15",15,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights",8.3,"¡°A pleasant, spacious, well maintained and clean hotel...¡±"," A pleasant, spacious, well maintained and clean hotel without being overtly ""luxurious"" Staff very attentive and courteous Good facilities (including gym and pool-side) A little out of the way but not a deal breaker due to proximity to the local station and efficiency of Singapore's MRT train networkStayed in December "
"16",16,"Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Orchid Club Premier Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.8,"¡°Fantatic staff throughout the property from breakfast room...¡±","We had no disppontments whatsoever on property it actually met all our expectations plus more Fantatic staff throughout the property from breakfast room,front deskStayed in January "
"17",17,"United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile",10,"¡°Staff made this visit a 10 out of 10!¡±"," Staff made this visit a  out of ! Extremely polite and helpful Hotel in its self is immaculately clean and has a nice modern feel to it Swimming pool is a good size with beautiful views of Singapore! Walking distance to nearby amenitiesStayed in December "
