"","X","nationality","tags","score","content","content_detail"
"1",1,"","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights",5.8,"¡°is convenient to go out to the beach as well as eateries...¡±","the mattress was abit soft and nt comfortable is convenient to go out to the beach as well as eateries around the resortStayed in December "
"2",2,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",5.4,"¡°It was an average hotel.¡±","The bathroom is tiny, floor is dusty, there are ants everywhere The hotel is eco friendly which is lovely!Stayed in January "
"3",3,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.9,"¡°shuttle service to mainland and great for family vacation.¡±","nil shuttle service to mainland and great for family vacationStayed in January "
"4",4,"Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°Very comfortable and clean, I love the scenery and the...¡±","Too expensive and need promo for long stay  Very comfortable and clean, I love the scenery and the surroundingStayed in January "
"5",5,"Australia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",8.8,"¡°We'll definitely come back!  ¡±","Our room air-con is noisy  Nice ambience and the swimming pool is awesomeStayed in January "
"6",6,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights",7.1,"¡°Good Spot for Sentosa Beach¡±","Reception area design Very good bfst, pool, internet, bed and locationStayed in January "
"7",7,"Singapore","<U+2022> People with friends<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",8.3,"¡°Like the room very much because there is a bathtub for me to...¡±","There are more red ants enter to my room Like the room very much because there is a bathtub for me to cool down Love the room bec it is big! :)Stayed in January "
"8",8,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.1,"¡°Cheap and good for its price¡±"," Cheap and good for its priceStayed in December "
"9",9,"Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Superior Double or Twin Room<U+2022> Stayed 2 nights",7.9,"¡°excellent location good for stope over stay¡±","not good for myself as I have wheelchair contacted hotel few times prior received no repliesStayed in December "
"10",10,"Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Superior Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",5,"¡°Access to the beach¡±","Bathroom sink with stain, rusty lamps, small tv, very dirty curtain, feels room is so old and needed touch up Access to the beachStayed in January "
"11",11,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",7.5,"¡°The pool is big with a slide and waterfall which is fun for...¡±"," The pool is big with a slide and waterfall which is fun for the childrenStayed in December "
"12",12,"Saudi Arabia","<U+2022> Leisure trip<U+2022> Group<U+2022> Superior Double or Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile",8.3,"¡°Great location good breakfast & close to beach and all major Sentosa attractions.Lovely plants& pool¡±"," Convenient & close to all major Sentosa Island attractions & activities Easy walk to bus & train links tooStayed in December "
"13",13,"Singapore","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Roof Garden Suite Queen<U+2022> Stayed 2 nights<U+2022> Submitted via mobile",6.3,"¡°Below expectations, could have enjoy more in hotel.¡±","ve paid for k?The  suntan chairs on the roof are very dirtyNot able to stop the bathtub hydrotherapy bubbles after starting it The loud banging of rooftop doors can be heard, especially when we are sleeping Like the bathtub with hydrotherapy bubbles The view of the sea from our unitStayed in December "
"14",14,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",7.5,"¡°The bed makes a lot of sounds.¡±","The bed makes a lot of soundsStayed in December "
"15",15,"Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Deluxe Double or Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile",5.4,"¡°Over all... Overpriced unwelcoming resort¡±","The entrance to the hotel wasn't welcoming Stunk of pee Definitely not worth the price I paid for it The room was alright and breakfast was goodStayed in December "
